,ave
BOP,0.728473615768795
CDLLONGLINE,0.5007225835934291
CDLBELTHOLD,0.4877354062767044
CDLCLOSINGMARUBOZU,0.4763506210081284
WILLR,0.46661736622902744
CCI,0.41507710192366803
RSI,0.37816872928200396
CMO,0.37816872928200396
CDLMARUBOZU,0.33012394838873427
ROCR100,0.32189178717905326
ROCP,0.32189178717905326
ROCR,0.32189178717905326
ROC,0.32189178717905326
MOM,0.320793029654023
ULTOSC,0.29572732091279114
PLUS_DI,0.22811104416575342
MINUS_DM,0.19983679066604002
CDL3INSIDE,0.1972065555258755
MINUS_DI,0.19701365419586658
CDLENGULFING,0.18446424399164632
SAR,0.18060538241763463
ADOSC,0.16617889099042554
SAREXT,0.15502844330623491
PLUS_DM,0.15429692511111598
COSH,0.14812809279989955
EXP,0.14812809279933478
SINH,0.14812809279877004
SQRT,0.14573816725674776
LOG10,0.14522673621011145
LN,0.14522673621011145
ATAN,0.14430521637453111
FLOOR,0.14292656306020804
CEIL,0.14291996943668436
TRIX,0.14143954820584764
CDLHARAMI,0.1397061087662123
LINEARREG_INTERCEPT,0.1371144053416204
TEMA,0.1356205075727576
HT_TRENDLINE,0.13427736001450005
T3,0.13105059648357925
MFI,0.13098121227881998
WMA,0.1293059950491249
KAMA,0.12890575545625207
DEMA,0.12771682925837657
EMA,0.12631062620430816
NATR,0.12611925205479843
TRIMA,0.12159696483897885
SMA,0.12011374044459848
MA,0.12011374044459848
SUM,0.12011374044459844
CDLSHORTLINE,0.1174465808200846
CDL3OUTSIDE,0.1150329653577304
MIDPRICE,0.10851132477175805
MIDPOINT,0.10075082013464043
CDLINVERTEDHAMMER,0.09534529717144916
WCLPRICE,0.08916006497313747
MAX,0.08834862668723091
OBV,0.08736878965545512
MIN,0.08633097040314222
LINEARREG,0.08602227224317043
AROONOSC,0.08512377880313104
CDLSHOOTINGSTAR,0.08021105219273225
CDLHANGINGMAN,0.07985758131551686
TSF,0.07882905094333771
BETA,0.07857241755545172
CDLDOJISTAR,0.0704005349450449
TYPPRICE,0.06973886496536975
CDLHARAMICROSS,0.06587372448719853
LINEARREG_ANGLE,0.06037084901622349
CDLHAMMER,0.05827199451471225
LINEARREG_SLOPE,0.05519774454665566
CDLHOMINGPIGEON,0.050826610440125014
CDLSPINNINGTOP,0.050789771491478876
CDLTHRUSTING,0.050336739167059746
AD,0.048681446530662954
ATR,0.04828551547883154
PPO,0.04508807120442255
APO,0.04406709937230966
CDLHIKKAKE,0.04062320279444837
HT_DCPHASE,0.03361199385764533
MULT,0.030776367546565413
MEDPRICE,0.030686876945728244
ADD,0.030686876945728244
AVGPRICE,0.02987672866741935
CDLDOJI,0.0292423808725258
CDLLONGLEGGEDDOJI,0.027874100221568086
MAXINDEX,0.027140055984989284
CDLRICKSHAWMAN,0.026777535487932446
HT_TRENDMODE,0.02663749987339403
DX,0.02463941356452093
CDLHIGHWAVE,0.024315837014305796
DIV,0.023076215292498325
MININDEX,0.02299047650717983
CDLTAKURI,0.021315910503722096
VAR,0.02116353335587871
CDLDRAGONFLYDOJI,0.020711104819333533
SUB,0.020366100849105204
STDDEV,0.02026307372112559
TRANGE,0.018399126807062544
CORREL,0.014517105664725938
ADX,0.012272156167243843
HT_DCPERIOD,0.012216548760314022
ADXR,0.01217772476789436
CDLMATCHINGLOW,0.003994684478624591
CDLGRAVESTONEDOJI,0.0037354052064455514
TAN,0.00314982216388732
SIN,0.0031390773690435133
COS,0.00022952811657035583
