combine,number,0,mkt
s0,1101,台泥,TSE
s1,1102,亞泥,TSE
s2,1103,嘉泥,TSE
s3,1104,環泥,TSE
s4,1108,幸福,TSE
s5,1109,信大,TSE
s6,1110,東泥,TSE
s7,1201,味全,TSE
s8,1203,味王,TSE
s9,1210,大成,TSE
s10,1213,大飲,TSE
s11,1215,卜蜂,TSE
s12,1216,統一,TSE
s13,1217,愛之味,TSE
s14,1218,泰山,TSE
s15,1219,福壽,TSE
s16,1220,台榮,TSE
s17,1225,福懋油,TSE
s18,1227,佳格,TSE
s19,1229,聯華,TSE
s20,1231,聯華食,TSE
s21,1232,大統益,TSE
s22,1233,天仁,TSE
s23,1234,黑松,TSE
s24,1235,興泰,TSE
s25,1236,宏亞,TSE
s26,1240,茂生農經,OTC
s27,1256,鮮活果汁-KY,TSE
s28,1259,安心,OTC
s29,1264,德麥,OTC
s30,1268,漢來美食,OTC
s31,1301,台塑,TSE
s32,1303,南亞,TSE
s33,1304,台聚,TSE
s34,1305,華夏,TSE
s35,1307,三芳,TSE
s36,1308,亞聚,TSE
s37,1309,台達化,TSE
s38,1310,台苯,TSE
s39,1312,國喬,TSE
s40,1313,聯成,TSE
s41,1314,中石化,TSE
s42,1315,達新,TSE
s43,1316,上曜,TSE
s44,1319,東陽,TSE
s45,1321,大洋,TSE
s46,1323,永裕,TSE
s47,1324,地球,TSE
s48,1325,恒大,TSE
s49,1326,台化,TSE
s50,1336,台翰,OTC
s51,1337,再生-KY,TSE
s52,1338,廣華-KY,TSE
s53,1339,昭輝,TSE
s54,1340,勝悅-KY,TSE
s55,1341,富林-KY,TSE
s56,1342,八貫,TSE
s57,1402,遠東新,TSE
s58,1409,新纖,TSE
s59,1410,南染,TSE
s60,1413,宏洲,TSE
s61,1414,東和,TSE
s62,1416,廣豐,TSE
s63,1417,嘉裕,TSE
s64,1418,東華,TSE
s65,1419,新紡,TSE
s66,1423,利華,TSE
s67,1432,大魯閣,TSE
s68,1434,福懋,TSE
s69,1435,中福,TSE
s70,1436,華友聯,TSE
s71,1437,勤益控,TSE
s72,1438,三地開發,TSE
s73,1439,雋揚,TSE
s74,1440,南紡,TSE
s75,1441,大東,TSE
s76,1442,名軒,TSE
s77,1443,立益物流,TSE
s78,1444,力麗,TSE
s79,1445,大宇,TSE
s80,1446,宏和,TSE
s81,1447,力鵬,TSE
s82,1449,佳和,TSE
s83,1451,年興,TSE
s84,1452,宏益,TSE
s85,1453,大將,TSE
s86,1454,台富,TSE
s87,1455,集盛,TSE
s88,1456,怡華,TSE
s89,1457,宜進,TSE
s90,1459,聯發,TSE
s91,1460,宏遠,TSE
s92,1463,強盛,TSE
s93,1464,得力,TSE
s94,1465,偉全,TSE
s95,1466,聚隆,TSE
s96,1467,南緯,TSE
s97,1468,昶和,TSE
s98,1470,大統新創,TSE
s99,1471,首利,TSE
s100,1472,三洋實業,TSE
s101,1473,台南,TSE
s102,1474,弘裕,TSE
s103,1475,業旺,TSE
s104,1476,儒鴻,TSE
s105,1477,聚陽,TSE
s106,1503,士電,TSE
s107,1504,東元,TSE
s108,1506,正道,TSE
s109,1512,瑞利,TSE
s110,1513,中興電,TSE
s111,1514,亞力,TSE
s112,1515,力山,TSE
s113,1516,川飛,TSE
s114,1517,利奇,TSE
s115,1519,華城,TSE
s116,1521,大億,TSE
s117,1522,堤維西,TSE
s118,1524,耿鼎,TSE
s119,1525,江申,TSE
s120,1526,日馳,TSE
s121,1527,鑽全,TSE
s122,1528,恩德,TSE
s123,1529,樂事綠能,TSE
s124,1530,亞崴,TSE
s125,1531,高林股,TSE
s126,1532,勤美,TSE
s127,1533,車王電,TSE
s128,1535,中宇,TSE
s129,1536,和大,TSE
s130,1537,廣隆,TSE
s131,1538,正峰,TSE
s132,1539,巨庭,TSE
s133,1540,喬福,TSE
s134,1541,錩泰,TSE
s135,1558,伸興,TSE
s136,1560,中砂,TSE
s137,1565,精華,OTC
s138,1568,倉佑,TSE
s139,1569,濱川,OTC
s140,1570,力肯,OTC
s141,1580,新麥,OTC
s142,1582,信錦,TSE
s143,1583,程泰,TSE
s144,1584,精剛,OTC
s145,1586,和勤,OTC
s146,1587,吉茂,TSE
s147,1589,永冠-KY,TSE
s148,1590,亞德客-KY,TSE
s149,1591,駿吉-KY,OTC
s150,1593,祺驊,OTC
s151,1595,川寶,OTC
s152,1597,直得,TSE
