有價證券代號及名稱,,國際證券辨識號碼(ISIN Code),發行日,CFICode,備註
T0101Y,兆豐寶鑽貨幣市場證券投資信託,TW000T0101Y3,2000/11/28,CIOGEU,
T0102Y,兆豐第一證券投資信託基金,TW000T0102Y1,1986/1/4,CIOGEU,
T0103Y,兆豐國民證券投資信託基金,TW000T0103Y9,1988/5/2,CIOJEU,
T0104Y,兆豐全球證券投資信託基金,TW000T0104Y7,1989/2/4,CIOGEU,
T0105Y,兆豐萬全證券投資信託基金,TW000T0105Y4,1990/5/30,CIOGEU,
T0108Y,兆豐電子證券投資信託基金,TW000T0108Y8,1998/9/2,CIOGEU,
T0109Y,兆豐生命科學證券投資信託基金,TW000T0109Y6,2002/6/25,CIOGEU,
T0110Y,兆豐豐台灣證券投資信託基金,TW000T0110Y4,2008/8/22,CIOGEU,於2023/03/10登錄櫃檯買賣
T0117A,兆豐國際新興市場高收益債券基金-A(不分配收益),TW000T0117A9,2013/1/28,CIOIBU,
T0117B,兆豐國際新興市場高收益債券基金-B(分配收益),TW000T0117B7,2013/1/28,CIOIBU,
T0118Y,兆豐人民幣貨幣市場證券投資信,TW000T0118Y7,2014/3/20,CIOGEU,
T0119A,兆豐中國Ａ股證券投資信託基金,TW000T0119A5,2014/8/20,CIOGEU,
T0119B,兆豐中國Ａ股證券投資信託基金,TW000T0119B3,2014/8/20,CIOGEU,
T0119C,兆豐中國Ａ股證券投資信託基金,TW000T0119C1,2014/8/20,CIOGEU,
T0123A,兆豐美元貨幣市場證券投資信託,TW000T0123A7,2016/8/4,CIOGEU,
T0123B,兆豐美元貨幣市場證券投資信託,TW000T0123B5,2016/8/4,CIOGEU,
T0126J,兆豐國際丹麥資產擔保債券指數基金-台幣(法人累積型),TW000T0126J1,2019/4/24,CIOGBU,
T0127A,兆豐中國內需Ａ股證券投資信託,TW000T0127A8,2019/8/13,CIOGEU,
T0127B,兆豐中國內需Ａ股證券投資信託,TW000T0127B6,2019/8/13,CIOGEU,
T0127C,兆豐中國內需Ａ股證券投資信託,TW000T0127C4,2019/8/13,CIOGEU,
T0128A,兆豐六年到期新興市場債券證券,TW000T0128A6,2020/2/26,CIOGBU,
T0128B,兆豐六年到期新興市場債券證券,TW000T0128B4,2020/2/26,CIOIBU,
T0128C,兆豐六年到期新興市場債券證券,TW000T0128C2,2020/2/26,CIOGBU,
T0128D,兆豐六年到期新興市場債券證券,TW000T0128D0,2020/2/26,CIOIBU,
T0128E,兆豐六年到期新興市場債券證券,TW000T0128E8,2020/2/26,CIOGBU,
T0128F,兆豐六年到期新興市場債券證券,TW000T0128F5,2020/2/26,CIOIBU,
T0128G,兆豐六年到期新興市場債券證券,TW000T0128G3,2020/2/26,CIOGBU,
T0128H,兆豐六年到期新興市場債券證券,TW000T0128H1,2020/2/26,CIOIBU,
T0129Y,兆豐台灣先進通訊證券投資信託,TW000T0129Y4,2020/9/22,CIOGEU,
T0130A,兆豐新興市場短期非投資等級債,TW000T0130A2,2021/1/20,CIOGBU,
T0130B,兆豐新興市場短期非投資等級債,TW000T0130B0,2021/1/20,CIOIBU,
T0130C,兆豐新興市場短期非投資等級債,TW000T0130C8,2021/1/20,CIOGBU,
T0130D,兆豐新興市場短期非投資等級債,TW000T0130D6,2021/1/20,CIOIBU,
T0130E,兆豐新興市場短期非投資等級債,TW000T0130E4,2021/1/20,CIOGBU,
T0130F,兆豐新興市場短期非投資等級債,TW000T0130F1,2021/1/20,CIOIBU,
T0130G,兆豐新興市場短期非投資等級債,TW000T0130G9,2021/1/20,CIOGBU,
T0130H,兆豐新興市場短期非投資等級債,TW000T0130H7,2021/1/20,CIOIBU,
T0130J,兆豐新興市場短期非投資等級債,TW000T0130J3,2021/1/20,CIOIBU,
T0130K,兆豐新興市場短期非投資等級債,TW000T0130K1,2021/1/20,CIOGBU,
T0130L,兆豐新興市場短期非投資等級債,TW000T0130L9,2021/1/20,CIOIBU,
T0130M,兆豐新興市場短期非投資等級債,TW000T0130M7,2021/1/20,CIOGBU,
T0133A,兆豐全球元宇宙科技證券投資信,TW000T0133A6,2022/4/18,CIOGEU,
T0133B,兆豐全球元宇宙科技證券投資信,TW000T0133B4,2022/4/18,CIOGEU,
T0133C,兆豐全球元宇宙科技證券投資信,TW000T0133C2,2022/4/18,CIOGEU,
T0133D,兆豐全球元宇宙科技證券投資信,TW000T0133D0,2022/4/18,CIOGEU,
T0133E,兆豐全球元宇宙科技證券投資信,TW000T0133E8,2022/4/18,CIOGEU,
T0133F,兆豐全球元宇宙科技證券投資信,TW000T0133F5,2022/4/18,CIOGEU,
T0134A,兆豐新加坡交易所房地產收益證,TW000T0134A4,2022/11/8,CIOGRU,
T0134B,兆豐新加坡交易所房地產收益證,TW000T0134B2,2022/11/8,CIOIRU,
T0134C,兆豐新加坡交易所房地產收益證,TW000T0134C0,2022/11/8,CIOGRU,
T0134D,兆豐新加坡交易所房地產收益證,TW000T0134D8,2022/11/8,CIOIBU,
T0134E,兆豐新加坡交易所房地產收益證,TW000T0134E6,2022/11/8,CIOJRU,
T0134F,兆豐新加坡交易所房地產收益證,TW000T0134F3,2022/11/8,CIOIRU,
T0134G,兆豐新加坡交易所房地產收益證,TW000T0134G1,2022/11/8,CIOJRU,
