,BOP,MINUS_DM,STDDEV,ADXR,TAN,COS,HT_DCPHASE,SIN
0,0.050695766,0.08958892,-0.04201411,0.04506683,0.027064957,0.08965822,-0.08289948,0.025738357
1,0.16084905,0.02208524,0.0807355,-0.104560085,-0.027406244,0.04259755,-0.06497011,-0.14012986
2,0.13670684,-0.049616538,-0.006244957,-0.09057558,0.038918305,-0.02991699,-0.04299369,0.022317389
3,0.008578742,-0.0581835,-0.059409466,0.07558091,-0.04634521,-0.09088581,-0.03813223,-0.11209207
4,0.11947878,-0.046880055,0.040968414,-0.026682544,-0.06290612,0.07706595,-0.025741816,-0.040418204
5,0.17450348,-0.10576037,0.0064048795,0.013573241,0.025973495,0.04114729,-0.038632274,-0.105064504
6,0.42688802,-0.014036285,-0.0104833795,-0.1257823,-0.031369407,-0.09360191,0.06450767,-0.2231051
7,0.25515372,-0.083829194,-0.041181494,-0.069470674,-0.08123238,-0.11156359,0.041524246,-0.2156626
8,-0.17001489,0.031544417,0.07421676,-0.029706428,0.08293962,-0.046128687,-0.029335137,0.01965457
9,0.018314764,-0.08987092,-0.03731627,-0.08153414,0.055019367,-0.089624375,0.05762016,-0.113717034
10,-0.47354737,0.10027106,-0.07539765,0.05096274,0.04577241,-0.036479104,-0.043454785,0.23623924
11,0.14649607,-0.022265105,0.0017762264,-0.036894944,-0.027344992,-0.0477802,-0.073206924,-0.13875125
12,0.029369034,-0.07874276,-0.00891192,-0.0031633978,0.03889251,0.034482475,-0.04327508,0.06902148
13,-0.52273864,-0.029972808,-0.02603486,0.11545482,-0.010127279,-0.029500222,0.10732016,0.33331934
14,0.15252939,-7.021133e-05,-0.025759736,-0.07352389,0.05444881,-0.011598117,0.01962626,-0.1447168
15,0.09459912,-0.017110173,-0.065345496,-0.085620135,0.079378136,0.05457469,-0.036711063,-0.06949666
16,-0.0938615,0.03196543,0.05876818,0.098550126,0.02403101,-0.061849963,-0.028982198,0.0494552
17,0.10240004,0.008402451,0.021825766,-0.03510635,0.05539482,-0.053150725,-0.08651186,-0.03630277
18,0.17703427,0.0355829,-0.026193703,0.064963296,0.029085385,0.07076823,-0.08456466,-0.05093318
19,0.17560002,0.049732454,0.08342755,-0.06449284,-0.07373194,0.04081986,-0.043798015,-0.122196086
20,-0.586802,-0.024093824,0.03239873,0.015545959,-0.08550524,0.052201428,-0.0072228834,0.36418208
21,0.13984308,0.00429939,-0.013788818,-0.014399599,0.011196905,-0.085543916,0.036247216,-0.16926411
22,-0.116757005,-0.015186445,-0.0010265632,-0.01111664,-0.018045776,0.053639557,0.03655384,0.080916725
23,-0.0019041101,0.051370118,-0.057084706,0.032927416,-0.056197796,-0.06386036,-0.010363344,0.020676488
24,0.03536487,0.07110084,-0.01108147,0.06908247,0.02920268,-0.022669755,0.042475015,0.0565071
25,-0.24071291,0.032721512,0.05784003,-0.015546149,-0.028041484,0.004621995,0.049063355,0.19613993
26,0.09931522,0.06376935,-0.064137205,0.01368101,-0.083409406,-0.094831556,0.067108,0.020799031
27,-0.10021145,0.017927568,-0.057418536,-0.016262306,0.030728439,-0.05433376,-0.07916437,-0.070829935
28,0.08643846,-0.05484541,-0.012182234,-0.055015266,0.05438883,0.039177243,-0.076189406,-0.13662641
29,0.04741035,-0.033388335,-0.06818606,-0.021105353,0.07570381,-0.07670462,0.042523794,-0.09329158
30,0.24705034,0.063338004,0.01504395,-0.10398101,0.07710106,-0.05739284,0.07169309,-0.042252265
31,0.059153575,-0.07178364,0.008072325,0.08643858,0.010397167,0.050584942,0.08513428,0.08648668
32,-0.1588463,-0.05580909,-0.0037574952,0.052395515,0.010796582,0.08387316,-0.051457267,0.18039738
33,-0.01054146,0.06905906,-0.017676739,0.067219995,0.08674709,-0.009071813,0.011541069,-0.102727264
34,-0.036271207,0.031119088,-0.06697889,-0.020523908,-0.010068691,0.023437675,0.07859961,0.09522709
35,-0.3438859,0.018659227,-0.041172456,0.008472157,-0.06859992,-0.0066283867,-0.06371215,0.22976166
36,-0.19294958,0.09188937,-0.0059517133,0.09832241,0.05508654,0.012560651,0.07987012,0.052115027
37,-0.1575926,0.05766519,-0.07403156,-0.07400559,-0.01049329,0.045544043,0.035544522,0.11138411
38,-0.11117716,0.06005747,-0.0523472,0.008624941,-0.009316949,-0.011235211,0.056208193,0.1681766
39,0.132222,-0.033364967,-0.023339394,-0.024579762,-0.079409756,-0.07183313,-0.05411927,-0.101104066
40,0.13953167,-0.01161412,0.08684958,0.051750086,-0.035194762,-0.09702083,-0.09267802,-0.17484073
41,-0.005567443,0.07865771,0.08359267,0.01581088,-0.07480363,0.02900693,-0.03769646,0.0049056276
42,-0.13913156,0.009560112,-0.06305143,-0.030959146,0.031455353,0.09221607,0.08499131,0.20146511
