instrument,datetime,open,high,low,close,volume
9958,2021-11-01,109.797,111.6901,108.3772,108.8505,4354249
9958,2021-11-02,110.2703,110.2703,104.5911,105.5376,2718535
9958,2021-11-03,106.4842,108.8505,105.5376,106.0109,2899007
9958,2021-11-04,106.9574,107.4307,104.5911,104.5911,1622455
9958,2021-11-05,105.5376,106.4842,103.1713,104.5911,1729726
9958,2021-11-08,105.0644,110.2703,105.0644,107.904,5975910
9958,2021-11-09,110.2703,110.2703,106.9574,108.3772,2409452
9958,2021-11-10,109.3238,110.7435,107.904,107.904,2815300
9958,2021-11-11,106.4842,108.8505,105.0644,106.4842,2148923
9958,2021-11-12,107.4307,107.4307,104.5911,105.0644,1846048
9958,2021-11-15,105.0644,105.5376,102.6981,103.1713,2474913
9958,2021-11-16,103.1713,105.0644,102.6981,102.6981,1488886
9958,2021-11-17,103.1713,104.1179,101.2783,101.7515,1296416
9958,2021-11-18,102.2248,103.1713,100.805,103.1713,976689
9958,2021-11-19,103.1713,106.9574,103.1713,105.5376,3071734
9958,2021-11-22,107.4307,107.4307,103.6446,103.6446,1407634
9958,2021-11-23,104.1179,106.4842,104.1179,105.0644,1485307
9958,2021-11-24,106.9574,111.2168,106.0109,106.0109,6883980
9958,2021-11-25,106.9574,107.4307,105.0644,105.5376,1172099
9958,2021-11-26,105.5376,106.0109,104.1179,104.1179,1088782
9958,2021-11-29,102.6981,104.1179,101.2783,103.1713,1500678
9958,2021-11-30,104.1179,106.0109,103.1713,106.0109,1096801
9958,2021-12-01,106.0109,106.0109,104.5911,106.0109,658585
9958,2021-12-02,106.4842,106.4842,104.1179,104.1179,694408
9958,2021-12-03,105.5376,107.904,104.5911,104.5911,1578096
9958,2021-12-06,105.5376,106.4842,103.6446,104.5911,1161249
9958,2021-12-07,105.0644,106.0109,104.1179,105.0644,938621
9958,2021-12-08,105.5376,106.4842,104.1179,104.5911,1145391
9958,2021-12-09,105.0644,105.0644,103.6446,104.1179,748061
9958,2021-12-10,104.1179,104.5911,101.7515,102.6981,1665109
9958,2021-12-13,103.1713,104.5911,102.2248,104.1179,946278
9958,2021-12-14,104.1179,105.5376,102.6981,102.6981,1285150
9958,2021-12-15,102.6981,103.1713,102.2248,103.1713,653907
9958,2021-12-16,103.6446,105.0644,102.6981,105.0644,1017211
9958,2021-12-17,105.0644,113.1099,104.5911,110.2703,13764119
9958,2021-12-20,112.1633,115.0029,107.904,107.904,16300487
9958,2021-12-21,108.3772,109.3238,106.4842,107.904,2353213
9958,2021-12-22,108.3772,108.3772,106.0109,106.0109,1538552
9958,2021-12-23,106.4842,106.9574,105.0644,105.5376,1101428
9958,2021-12-24,106.0109,106.4842,104.1179,104.5911,1752034
9958,2021-12-27,104.5911,105.0644,103.6446,104.5911,1318445
9958,2021-12-28,104.5911,104.5911,103.6446,104.5911,1012071
9958,2021-12-29,105.5376,105.5376,104.1179,105.0644,955589
9958,2021-12-30,105.5376,106.0109,104.5911,104.5911,812535
9958,2022-01-03,105.0644,108.3772,103.6446,107.904,2872571
9958,2022-01-04,108.3772,108.3772,106.0109,106.9574,1536909
9958,2022-01-05,106.4842,108.8505,106.0109,106.0109,1543255
9958,2022-01-06,106.0109,108.8505,105.5376,108.3772,2497135
9958,2022-01-07,109.3238,111.6901,107.904,110.2703,6476536
9958,2022-01-10,111.6901,114.5296,109.3238,114.5296,7481600
9958,2022-01-11,113.1099,113.5831,108.8505,110.2703,4833417
9958,2022-01-12,110.7435,111.2168,108.3772,109.797,1768611
9958,2022-01-13,109.797,113.5831,109.797,109.797,4530013
