,ave
BOP,0.7740652926892287
CDLLONGLINE,0.5102690782983682
CDLBELTHOLD,0.5023202176311609
CDLCLOSINGMARUBOZU,0.4752686599677659
WILLR,0.46021352419542827
CCI,0.41888345739045574
CMO,0.38268797758144446
RSI,0.3826879775814444
CDLMARUBOZU,0.318584046775919
ULTOSC,0.30378019527200845
ROC,0.28699037843111874
ROCR100,0.2869903784311187
ROCP,0.2869903784311187
ROCR,0.2869903784311187
MOM,0.28513519160162815
PLUS_DI,0.2546128944084167
CDLENGULFING,0.22081507896489785
MINUS_DM,0.2127965109785953
MINUS_DI,0.2127957093879772
ADOSC,0.20964571176010416
SAR,0.17487088691085537
COSH,0.174427843541864
EXP,0.17442784354186322
SINH,0.17442784354186242
MFI,0.16920431731675886
TRANGE,0.1680340154697187
CDL3INSIDE,0.16252350333436194
PLUS_DM,0.15940372092372823
DX,0.15892675694365446
SAREXT,0.14553412553090259
CDL3OUTSIDE,0.14190631481342805
T3,0.13848294566372132
CDLSHORTLINE,0.13315837638585795
WMA,0.12962141508190883
HT_TRENDLINE,0.1293379755103009
DIV,0.12873713873254972
EMA,0.1281223728698697
DEMA,0.12510921462532312
KAMA,0.12313306340974087
LINEARREG_INTERCEPT,0.12250973367137044
SQRT,0.11868895054832873
FLOOR,0.11857643132496871
CEIL,0.11856007293429986
SUM,0.11783012908757562
SMA,0.11783012908757558
MA,0.11783012908757558
AD,0.11766066129412689
TRIMA,0.1172498480030915
LOG10,0.11711099333473943
LN,0.11711099333473932
SUB,0.11681357126035148
NATR,0.11476324024614684
TEMA,0.11473233748114606
ATAN,0.11406593176245536
CDLHARAMI,0.11239578086288954
VAR,0.10762403811875723
STDDEV,0.10655447375273391
MIDPRICE,0.10357990612011914
TRIX,0.10187907159932952
LINEARREG,0.09950901671578369
AROONOSC,0.09853137999398813
MIDPOINT,0.09370067285994893
TSF,0.09352481574721655
BETA,0.08881709503588943
CDLINVERTEDHAMMER,0.08669034929131135
MIN,0.08189917619418749
MAX,0.07521505960742693
WCLPRICE,0.06491433303040711
CDLSHOOTINGSTAR,0.062429509095186665
CDLDOJISTAR,0.05875705342554436
CDLHANGINGMAN,0.057944012841338925
CDLSPINNINGTOP,0.05307165990571601
OBV,0.05289065779605307
CDLHARAMICROSS,0.04983523076584103
CDLHAMMER,0.04878181129397477
MININDEX,0.04694956191855801
TYPPRICE,0.04626532151255166
LINEARREG_ANGLE,0.04587604847893588
MAXINDEX,0.04538212867961711
ADXR,0.04241731436999846
ATR,0.03912281227414653
LINEARREG_SLOPE,0.03831256704164429
ADX,0.0353991369949947
HT_DCPHASE,0.03303010942073806
APO,0.032433465076480594
CDLHIKKAKE,0.030516008287605128
PPO,0.029136851933928693
HT_TRENDMODE,0.02569879708681969
CDLHOMINGPIGEON,0.023152154680195255
CDLHIGHWAVE,0.02240302834240677
CDLMATCHINGLOW,0.01806169802685392
CORREL,0.011161200243811021
HT_DCPERIOD,0.010599620578520739
CDLGRAVESTONEDOJI,0.010237199238165474
MULT,0.009529180124412007
MEDPRICE,0.008953913820497428
ADD,0.008953913820497428
CDLDRAGONFLYDOJI,0.008938020827727704
CDLTAKURI,0.008780885982880089
AVGPRICE,0.0063767261315734736
COS,0.002679733956539129
SIN,0.002215882485482383
CDLDOJI,0.0017253317295892045
TAN,0.0009676677708650365
CDLLONGLEGGEDDOJI,0.0008555734417182681
CDLRICKSHAWMAN,0.0006415810294225165
