,BOP,TSF,HT_DCPERIOD,TAN,COS,AD,SIN,TRANGE
0,-0.1236278,0.10357468,-0.07561419,0.121905416,-0.10124211,-0.18520477,0.052046277,0.033774655
1,0.11581106,-0.059658434,-0.04897806,-0.22240765,0.080738336,0.23609997,-0.20734057,-0.07605729
2,0.110951625,0.04622524,0.05256768,-0.018977024,-0.015843265,0.052679706,-0.09285071,0.034895316
3,0.018879687,0.04001874,0.036072213,-0.05720129,0.0049999766,0.11198209,-0.07426548,0.016100762
4,-0.1816774,-0.029987097,-0.07457969,0.2502774,0.015595782,-0.15761162,0.07695686,0.093878224
5,-0.09091871,0.023010628,0.08047404,0.09972611,0.06613873,0.05143203,-0.070348,-0.041736305
6,0.0051893936,0.048894536,-0.019412339,0.13794908,0.05964614,-0.1571643,0.036153626,-0.016348679
7,0.124757804,-0.039863896,-0.06812776,-0.083021656,-0.0115767075,0.13555413,0.04528683,0.004028315
8,0.031120546,0.041178975,-0.061229184,-0.035982266,-0.01842348,0.023315288,0.08843487,-0.030153044
9,-0.004668845,-0.075167306,-0.03119014,0.044712048,0.0052683013,-0.040524054,0.060674336,-0.004286857
10,-0.16198935,0.024850935,-0.051222995,0.16542248,0.01684032,-0.2888142,0.12482202,0.055954657
11,-0.05888099,-0.055057473,-0.025988024,-0.06695899,-0.014257127,0.010482973,-0.03650062,-0.006324237
12,0.064469054,-0.09283208,-0.014024513,-0.06466443,-0.06451734,0.028974531,0.03791811,-0.062031537
13,0.00029007503,0.0055441014,0.0057548573,0.0884529,-0.038284205,-0.029565945,0.112279795,0.0048032217
14,-0.033451337,-0.018439982,-0.068164125,0.012945128,-0.063139394,-0.045870245,-0.057367835,0.026337594
15,-0.0525669,-0.06645388,0.064116195,0.05757729,-0.08159071,0.03284323,-0.07715565,0.050835792
16,-0.0077244244,0.042350966,0.06868316,-0.0857848,-0.06294237,-0.061002407,-0.047896404,-0.07953753
17,-0.030568989,0.038792264,0.021309566,0.09704162,-0.006009907,0.007877607,-0.05921016,-0.028546188
18,-0.11890176,0.10725569,0.07795436,0.14812326,-0.06999346,-0.1650079,0.025646115,0.04487425
19,-0.051145338,-0.068855755,0.022005985,-0.03753805,0.035863288,-0.0013340553,-0.004059792,-0.0088338535
20,-0.091703214,0.05112437,-0.048341457,0.11097424,0.06120925,-0.17131644,0.15625447,0.087984584
21,-0.018418798,-0.077194095,-0.027658973,0.10564681,-0.03336721,-0.12900704,-0.0028500974,-0.0205366
