,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T0102,1795,2002,2330,2344,2368,2610,2618,2883,3017,3037,3260,3532,3596,6182,6477,8046,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1795,2002,2330,2368,2455,2603,2610,2618,3017,3037,3324,3532,3665,4966,5269,5425,6213,6515,8046,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1560,1795,2002,2303,2330,2368,2603,2610,3003,3017,3035,3037,3443,3532,3596,3653,3661,3665,4966,5269,5425,6182,6271,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1560,1795,2002,2303,2330,2368,2603,2610,2618,3003,3017,3035,3037,3443,3596,3665,4966,5269,5425,6182,6271,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0129,1560,1795,2002,2303,2330,2368,2603,2610,3003,3017,3035,3037,3443,3532,3596,3661,3665,4966,5269,5425,6182,6271,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1101,1102,1216,1301,1904,2002,2330,2412,2603,2610,2615,2618,2881,2882,2883,2891,2892,3037,3653,5871,8046,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,2347,2385,2412,2603,2812,2915,3044,3088,3260,3264,3526,3548,3558,4162,5289,5478,6104,6147,6180,6182,6231,6548,6592,6803,8279,8299,8938,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1229,1301,2006,2347,2385,2412,2603,2812,2834,2883,2884,2890,2891,2915,3044,3045,3088,3526,3548,3558,4162,4739,4904,5289,6104,6176,6231,6505,6548,6592,6803,8210,8299,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,2303,2313,2317,2330,2344,2347,2357,2368,2382,2383,2412,2454,2603,3017,3035,3037,3189,3443,3526,3529,3533,3653,3675,3711,4739,4919,5274,5434,6104,6138,6271,8046,8069,8150,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,2002,2303,2317,2330,2344,2347,2368,2382,2383,2454,2481,2603,2881,2882,3035,3037,3044,3189,3443,3529,3533,4919,5269,5274,5347,5483,6104,6138,6271,6488,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1301,1303,1304,1476,1477,1590,2002,2006,2103,2204,2520,2603,2606,2610,2615,2618,3708,5871,6491,6505,8926,8938,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1301,1476,2002,2303,2308,2317,2327,2330,2345,2368,2377,2383,2454,2603,2618,2881,2882,2884,2885,2886,2891,3023,3035,3037,3105,3189,3529,3533,3665,3711,4551,4966,5269,5347,5483,5871,5876,6239,6269,6271,6279,6488,6505,6669
T0410,2303,2308,2317,2330,2344,2368,2377,2379,2382,2383,2395,2408,2412,2454,2481,3023,3035,3037,3189,3413,3529,3533,3665,3711,4966,5269,5274,5289,5347,5434,6121,6269,6271,6415,6488,6669,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1301,1476,2002,2303,2308,2317,2327,2330,2345,2368,2383,2454,2603,2618,2881,2882,2884,2885,2886,2891,3023,3035,3037,3105,3189,3529,3533,3665,3711,4551,4966,5269,5347,5483,5871,5876,6239,6269,6271,6279,6285,6488,6505,6669
T0502,1301,1303,1795,2002,2303,2330,2337,2344,2368,2454,2606,3034,3035,3037,3217,3526,3529,3533,3624,3653,3665,3711,5269,5274,5425,6138,6271,6278,6415,6488,6679,8046,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1301,1308,1476,1795,2014,2233,2330,2344,2393,2454,2481,2603,3017,3035,3037,3189,3526,3529,3596,3624,3653,3665,4966,5274,6104,6138,6187,6415,6488,8046,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1795,2002,2014,2330,2337,2344,2368,2376,2383,2603,3006,3017,3037,3189,3324,3529,3533,4966,5269,5274,5425,6104,6138,6196,6271,6278,6488,8046,8069,8155,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,1795,2014,2303,2337,2368,2481,3003,3035,3037,3105,3264,3529,4966,5274,5439,5483,6104,6138,6196,6411,6415,6488,6510,6679,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1795,2014,2303,2330,2338,2368,2409,2454,2455,2481,2603,3034,3035,3037,3189,3491,3529,3533,3653,4919,4966,5274,5425,6104,6138,6196,6415,6488,6781,8046,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1904,2002,2014,2303,2330,2337,2344,2368,2383,2393,2455,3006,3035,3037,3189,3526,3529,3624,4966,5269,5274,5425,6104,6138,6271,6415,6488,6756,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1795,2006,2014,2303,2330,2337,2344,2368,2436,2481,2603,3006,3035,3037,3189,3324,3443,3529,3533,4919,5274,5439,6104,6138,6196,6271,6278,6415,6488,6679,6781,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,2002,2014,2303,2317,2330,2337,2338,2344,2383,2409,2603,3006,3017,3034,3035,3037,3189,3529,3624,3711,4966,5274,5425,6104,6138,6187,6196,6488,6515,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1303,1308,2002,2014,2303,2330,2337,2357,2377,2382,2383,2408,2409,2454,2458,3034,3037,3264,3711,4966,5269,5347,5483,6121,6147,6239,6415,6488,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1301,2059,2303,2317,2327,2330,2347,2360,2379,2382,2408,2454,2455,2727,3008,3034,3037,3042,3105,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8044,8069,8464,9910,9914,NA,NA,NA,NA,NA,NA,NA
T0605,2059,2303,2317,2327,2330,2347,2379,2382,2408,2454,2455,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6488,6510,8044,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1301,2059,2303,2317,2327,2330,2347,2379,2382,2408,2454,2455,2727,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8046,8069,8464,9914,NA,NA,NA,NA,NA,NA,NA
T0704,2308,2330,2385,2454,2455,2481,2882,3035,3037,3189,3218,3526,3529,3533,3624,3653,3661,4919,4966,6104,6271,8046,8069,8114,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,2027,2330,2376,2454,2481,2618,2891,3017,3035,3037,3189,3529,3653,3661,4966,5269,5274,5483,6182,6187,6271,6488,6491,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,2330,2368,3035,3037,3529,3661,5269,5274,6104,8046,8069,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1308,2014,2330,2368,2376,2481,2603,2610,2881,3035,3037,3189,3526,3529,3533,3624,3653,3661,4919,4966,5269,5274,5483,6104,6187,6271,6669,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1301,1476,2002,2308,2317,2330,2409,2454,2603,2610,2618,2881,2882,3017,3035,3037,3324,3665,4927,4966,5269,5274,6104,6271,6278,6415,6679,6756,8016,8046,8081,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0803,1301,1477,2308,2330,2454,2881,2882,3017,3035,3037,3189,3324,3533,3596,3653,3665,4536,4739,4927,4966,5269,5274,6104,6271,6278,6279,6438,6491,6515,6683,6719,8046,8155,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0806,2330,2618,3037,3264,3293,3324,3529,4953,4966,5269,5274,5347,5371,5425,5609,6104,6121,6138,6271,6274,6278,6279,6488,6679,6683,6756,8155,8255,8299,8358,8406,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2308,2317,2330,2409,2412,2454,3017,3035,3037,3189,3324,3596,3665,4927,4966,5269,5274,6104,6271,6278,6285,6679,6756,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1476,1477,1795,2059,2327,2330,2383,2395,2603,3034,3037,3105,3189,3293,3324,3533,3596,3653,3665,4551,4927,4966,5269,5274,6104,6213,6271,6278,6488,6491,6679,6756,8046,8299,8358,9914,NA,NA,NA,NA,NA,NA,NA,NA
T0812,1101,1301,1303,1308,1477,1795,2002,2006,2027,2330,2603,2610,2615,2618,2881,2882,2883,2884,2886,2912,3037,4966,5871,5876,6104,6271,6278,6505,6670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0901,2313,2330,2351,2368,2383,2481,2603,2609,2610,3006,3017,3035,3037,3189,3324,3455,3529,3532,3533,3653,3661,3707,4966,5274,5483,6104,6138,6271,6756,6781,8016,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1708,1795,2006,2330,2351,2368,2481,2609,2610,2618,2886,3006,3017,3035,3037,3324,3443,3491,3653,3661,4162,5269,5871,6104,6271,6781,8046,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,1795,2014,2327,2330,2351,2368,2609,3017,3035,3037,3189,3532,3533,3653,3665,3675,4162,4919,4958,5425,6104,6271,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0904,1301,2027,2313,2330,2351,2368,2383,2603,2609,3008,3017,3035,3037,3533,3596,3653,3707,5269,5274,6138,6271,6669,6781,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,1708,1795,2006,2351,2368,2481,2609,2610,2618,3006,3017,3035,3037,3324,3443,3491,3624,3653,3661,4162,5269,5274,6104,6271,6679,6781,8046,8255,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,2002,2006,2031,2327,2330,2351,2368,2504,2618,2884,2886,2891,3017,3037,3189,3533,3653,3665,3675,4162,4958,6104,6271,6488,6679,8046,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,2002,2027,2031,2327,2330,2351,2368,2412,2603,2609,2618,3006,3017,3035,3037,3042,3189,3260,3324,3533,3653,3665,3675,4958,6104,6271,6505,8046,8069,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0911,1301,2027,2313,2330,2351,2368,2383,2603,2609,3008,3017,3035,3037,3189,3533,3653,3665,3707,5269,5274,6138,6271,6781,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
