,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T0102,1513,1707,2002,2454,2603,2618,2881,3008,3217,3406,5347,6488,6491,6505,8261,8436,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1513,1536,1760,2103,2231,2412,3293,3406,3665,5009,6143,6491,8069,8255,8436,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,1707,2059,2330,2412,2454,3008,3035,3293,3533,4966,5425,5483,6271,6279,6443,6477,6488,6531,6669,6683,8046,8069,8261,8299,8436,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1402,2103,2313,2330,2408,2412,2454,2603,2912,3260,3443,5607,6235,6643,6683,8255,8436,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0129,1513,1707,2059,2330,2412,2454,3008,3035,3293,3533,4966,5425,5483,6271,6279,6443,6488,6531,6669,6683,8046,8069,8261,8299,8436,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1102,1216,1301,1513,1707,2002,2454,2603,2618,2881,2891,2892,3008,3217,3406,6488,6491,6505,8261,8436,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1402,1513,1605,1795,2327,2603,2615,3088,3128,3454,4162,4506,5009,5289,5371,5903,5904,6121,6180,6244,6472,6491,6561,6589,6803,6806,8279,8436,8454,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1402,1513,1605,1795,2327,2603,2615,3088,3128,3454,4162,5009,5289,5371,5903,5904,6121,6180,6244,6472,6491,6561,6589,6803,6806,8436,8454,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,2303,2308,2313,2317,2330,2345,2347,2368,2382,2383,2412,2454,3008,3017,3034,3037,3443,3529,3533,3558,3653,3680,3711,5425,5434,5483,6285,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,2303,2308,2313,2317,2330,2345,2368,2382,2383,2454,2881,2882,3017,3034,3035,3037,3443,3529,3533,3558,3653,3680,5483,6285,6488,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1605,1795,2002,2014,2308,2327,2330,2337,2345,2368,2376,2382,2383,2395,2454,3017,3034,3044,3045,3088,3264,3443,3533,3558,3653,3711,4105,4904,5009,5483,6285,6505,8255,8299,8436,9933,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1216,1303,1304,1476,1590,2002,2006,2603,2618,2707,2723,2912,3708,5871,6505,8926,8938,9910,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1303,1476,2002,2303,2308,2317,2330,2345,2368,2377,2454,2618,2707,2881,2884,2885,2886,2891,3017,3023,3037,3533,3665,3711,4551,5347,5425,5483,5871,5876,6271,6279,6285,6488,6505,6669,9910,NA,NA,NA,NA,NA
T0410,2059,2301,2303,2308,2317,2330,2345,2351,2360,2368,2379,2383,2395,2408,2412,2454,3008,3017,3023,3037,3529,3533,3665,3711,4919,4966,5274,5425,5434,6121,6271,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1216,1303,1476,2002,2301,2303,2308,2317,2327,2330,2345,2368,2454,2618,2707,2881,2884,2885,2886,2891,3017,3023,3037,3529,3533,3665,3711,4551,4966,5347,5425,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910,NA
T0502,1477,1513,1795,2027,2308,2313,2330,2345,2360,2368,2376,2377,2383,2408,2454,2753,3017,3034,3035,3037,3443,3529,3533,3653,4162,4919,4961,5274,6279,6472,6515,6643,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1305,1477,1513,1760,2308,2313,2330,2345,2368,2376,2408,2454,2634,3017,3034,3443,3529,3533,3653,4128,4162,4919,4966,5274,6279,6443,6472,6643,6669,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,2308,2313,2330,2360,2368,2376,2408,3017,3035,3443,3529,3533,3596,3653,4551,4919,4966,5009,5388,6472,6643,6669,6781,8046,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,2014,2027,2330,3217,3293,3324,3533,3558,3587,3653,3680,4128,4137,4162,4966,5009,5347,5425,5483,5904,6121,6146,6147,6274,6279,6472,6643,6679,8255,8299,8436,8916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1513,2308,2313,2330,2345,2360,2368,2376,2408,2412,2454,3017,3034,3443,3533,3653,3711,4919,4958,4966,5274,6138,6472,6488,6515,6643,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
