,1101,1102,1210,1215,1216,1301,1303,1305,1308,1319,1326,1476,1477,1504,1513,1533,1537,1560,1565,1580,1590,1605,1717,1722,1760,1762,1785,1795,1904,2002,2006,2027,2049,2059,2103,2201,2204,2207,2227,2233,2301,2303,2308,2313,2317,2327,2330,2337,2338,2344,2345,2347,2351,2352,2355,2357,2360,2368,2376,2377,2379,2382,2383,2385,2387,2393,2395,2408,2409,2412,2421,2449,2454,2455,2458,2474,2481,2542,2548,2603,2609,2610,2618,2633,2634,2637,2640,2707,2723,2727,2731,2732,2753,2801,2812,2834,2881,2882,2883,2884,2885,2886,2887,2890,2891,2892,2912,3003,3006,3008,3017,3023,3034,3035,3036,3037,3042,3045,3081,3088,3105,3131,3141,3152,3169,3189,3209,3217,3218,3228,3231,3264,3293,3312,3324,3374,3376,3406,3413,3416,3443,3455,3479,3483,3491,3526,3529,3530,3532,3533,3551,3552,3556,3558,3567,3587,3592,3596,3617,3624,3645,3653,3661,3665,3669,3675,3680,3691,3702,3707,3708,3711,4105,4128,4129,4142,4162,4175,4438,4506,4536,4549,4551,4572,4576,4721,4736,4739,4743,4755,4770,4904,4906,4915,4919,4927,4931,4938,4945,4953,4958,4966,4968,4971,5009,5220,5222,5234,5243,5269,5274,5285,5288,5289,5306,5309,5340,5347,5351,5388,5425,5434,5439,5457,5483,5522,5609,5871,5876,5880,5904,6005,6104,6121,6138,6143,6146,6147,6176,6180,6182,6187,6196,6206,6213,6217,6223,6231,6239,6245,6251,6269,6271,6274,6278,6279,6284,6285,6290,6409,6411,6412,6414,6415,6443,6446,6469,6470,6472,6477,6488,6491,6505,6509,6510,6514,6515,6531,6533,6546,6548,6561,6568,6569,6591,6592,6612,6643,6667,6669,6670,6679,6683,6698,6712,6719,6732,6747,6781,6799,6803,6806,6829,8016,8027,8028,8044,8046,8050,8069,8086,8091,8109,8114,8155,8183,8215,8255,8279,8299,8341,8358,8422,8431,8454,8464,8478,8924,8926,8928,8938,8942,8996,9802,9910,9911,9914,9917,9921,9933,9938,9939,9941,9945,9958
2021-11-01,8569471,5023721,2064906,372086,5020098,9623983,5870087,7359895,11356900,301308,3416270,384645,1248374,1967021,6375991,1380526,131500,6985289,447460,91806,649128,12200268,5087757,2457430,442667,445282,51853215,2162567,4104692,46542843,3281774,66766125,595877,163148,2736765,5464040,417245,122616,26129,452762,3012199,134144926,11586092,40969757,18216191,2939627,17110357,33559433,11287783,20546856,2160647,2690086,4833875,11890018,926705,1160036,1194162,9429696,44488779,6868170,2999833,3940805,4680703,724538,448528,3551319,500729,7964030,112793892,6706689,464429,3975926,2963703,6596522,3867324,1347889,37067461,3585466,191029,145532049,105899719,196651612,125870422,2657409,1061067,8798045,39711,183408,543566,385107,389966,34276,159556,3530371,3949761,12752245,25581088,14023450,29301122,17790152,8686616,8456500,14775510,15229134,23306369,10310589,728030,10701514,31525685,506979,12710858,345040,5859715,59128138,1915876,71674191,8824623,1854235,1353468,1006642,7829362,210261,8381093,420592,8427200,32599057,1035166,143270,178769,2024927,6495822,13275920,267224,330535,831470,3071371,467718,2442959,1051789,614274,3965670,381137,83006,1738187,11603542,3544635,985534,2436796,2486370,612263,1675941,3857821,1554215,303876,133221,1394821,,11892982,11129,1075464,867010,3864417,2268221,2231010,436162,1262669,420956,3059640,2460194,80125139,2866587,15443891,656966,9866889,72067,1366530,158997,79798,300225,61172,80003,36996,414044,15023,386690,50302254,362239,48468993,1508955,273023,,1986906,4658704,4665198,11625377,6285281,331315,4143094,95278,152151,3173487,462656,2256851,1015392,4139116,39070,4332301,200560,10971868,538554,291853,16282103,113079,297618,215989,9477279,499611,9864233,9288828,830099,42903526,345566,1199614,5267566,13943292,526108,1359275,3857385,1497987,6593821,44493,1561082,30492612,1228321,5712225,6495952,14457,5229100,1873665,752084,50061249,1394203,2468207,221404,4104256,25385415,7848631,317727,2837592,210506,10881363,2695799,11510987,1179227,7310328,1806638,1432837,6512408,1821543,169577,14495918,470365,741800,223661,98154418,293772,273969,134144,290992,19996904,2992258,1583610,2685068,79400518,2653442,1009395,456778,10358475,2604950,,10318138,58064,1749925,4250,143131,461853,9001,1198061,1071010,840640,185386,344433,611523,255003,379036,,401639,157801,733459,,17839,,,4483276,376763,1507715,5723008,12075827,122588,31055343,4627672,507632,49479,160088,6214302,6001068,41094452,11598209,22345,2012814,52014,8636972,2170481,152798,803255,632501,145505,4160926,407713,97330,1477595,505301,1336767,360688,371164,197165,672788,250125,253701,523289,985334,862551,658465,11141437,4354249
2021-11-02,9990897,4085367,3513629,440435,5136473,12273575,8620738,15509932,14335637,244547,4442334,588826,1104790,3720914,5197020,1423983,106273,11180096,365960,100078,728038,14214547,5097126,3148654,420232,559705,38184729,1213187,4222002,45392614,2309033,33328856,1245403,251065,3268208,7303191,677800,181200,15534,365802,5524048,196610350,10822782,30449515,21351175,8656512,16544999,31913956,41577249,44676492,2703399,2699689,18751475,11258827,1532041,1802179,1527388,33781752,34254041,7584642,2250705,5517012,3154853,1488327,383445,5404733,441176,16625354,83296958,7517574,519529,3877201,2965080,8478897,6600957,1402144,96731581,2463505,341092,182290309,117563522,322520068,207283469,4806156,2696092,7634382,23367,211644,818749,774307,383096,85038,89435,5695824,4412354,15344973,31733604,13301001,31125246,9654855,13385706,13559701,12771217,13265261,24725265,12340601,1101274,15413004,31268231,699781,18661998,485038,5000516,51962706,3432327,91361986,15786197,2556019,1899175,368096,5321148,253042,27842481,1459688,11476549,30455287,1290792,416995,210156,1934165,5509028,10449882,388354,516410,731923,6137964,861775,5758849,794800,272055,3261485,914455,54105,1829794,21362771,6198154,911009,3502448,2842891,847765,1683221,5992961,2075837,131618,109084,3141483,,8677532,32586,1101521,400975,6981881,3578469,1867323,335119,1701306,586311,1810518,2724709,82663249,1693368,10968225,562162,7219753,102257,2230738,356941,50428,260301,65352,390279,58535,463822,16158,409634,35668410,347272,28914559,2651587,147768,,3243119,5014324,4919035,16086364,7876383,179167,25664571,74165,185699,3871966,474259,1632768,1717034,4438984,36000,8098916,146668,13592741,768300,236051,24972091,102259,260616,135956,12525566,401481,53491797,91644900,351661,98975149,479111,1318598,4620761,12886660,1206709,2784138,2899420,2235593,9194848,109297,2066342,26597479,966455,7937250,4656319,57257,8681435,2301356,458113,41401478,767412,2514635,261164,3764644,18868077,6126243,306635,4200631,253971,4873328,5071910,12166381,2333223,7923699,2315231,2386007,6125744,2249285,313756,26367218,561981,779244,174687,106426260,157315,926302,397752,166651,26558005,4588248,2044182,4323206,55859427,1704277,806074,705934,13063761,2635528,,7233205,20612,1852195,17145,141112,429930,26000,1048308,2443615,759255,151619,431912,717321,81008,340261,,396649,68430,943806,,10056,,,4924905,214690,990296,8177683,13370244,204080,35633564,7497712,552215,41254,180789,4384687,8113654,23075184,19119946,33365,1388384,54046,10603288,2735519,221359,709358,1379884,143889,2175108,353595,106000,1661778,312524,948561,1090110,495881,124056,377708,322735,698236,820561,1274658,1073740,638175,18642246,2718535
2021-11-03,6499438,3115187,1159981,233279,4716207,9018534,7781503,9941198,14784827,611336,3857922,447055,1477333,1164874,2268507,663579,91051,3301388,183240,62484,817691,16964334,1605360,1949260,229821,1196573,14023797,825469,2788354,25151922,1863644,19902190,949562,117173,2482121,2577768,653842,147912,50503,293656,2550933,93583437,9326306,14510541,12336039,6317560,11404984,21737623,26057648,46965385,3796646,6467496,11696490,5211829,869831,2935011,2027079,12963068,37716633,7602285,1511907,2882424,2680750,1178629,142604,1598613,334660,16105614,177508631,8510462,655024,19132602,3089194,6750274,2265495,1149901,71760593,1903683,157497,306737554,168912998,221310491,135706490,3269354,1895890,20153752,12256,125659,493540,259699,215273,24360,75249,3122150,5157212,11330052,14911092,10219417,19938090,7079777,6047525,9231573,12412977,7880483,19816431,5758717,1200448,6180893,14746660,396194,6371019,186507,3895173,47894537,1703628,72174925,4609193,1815299,1375456,271528,5042984,141374,21376399,375456,6021233,24136470,1107982,768942,159314,1164231,6596518,11627326,1560982,578588,355638,2057559,420217,2332661,690907,333676,2671045,1908657,35009,326635,6181792,1302121,518282,6458144,1459991,312217,625620,3258965,922858,33000,103025,1295638,,5774388,39040,1264465,239772,5357901,2485874,1350575,248465,1027548,234326,1382852,2306604,68283965,1342797,8413769,304119,9077247,139324,1157434,230649,32755,160023,38597,155158,37583,230153,10144,112041,42536700,597298,24013214,9120976,124247,,2358038,2375769,3404866,8162196,6110534,243139,7688947,77000,212371,2218576,217344,991319,408358,3435294,35227,4843885,143463,2058996,416868,78281,13266250,162000,141028,66027,3966312,119754,30287298,134029708,440564,54253250,274472,877522,1542736,7561898,848000,6082940,3423037,1887100,5187466,41151,2493735,17328856,794428,2156710,1673859,22110,5599453,1617983,1018814,23692662,467187,477254,188285,4789230,16301843,4021364,180200,2975336,146193,14745600,2230792,5410786,3984136,4485015,1414845,3424426,15384618,2449067,208175,31672716,889226,2268485,203737,65984092,115584,873861,180646,322411,8555715,3855863,1793683,3710903,45503745,1016827,617818,401798,14937020,1850565,,2759057,15642,766618,9576,177615,823929,19000,896427,382477,792342,246777,101715,2648846,48016,751671,,309623,41404,406186,,41786,,,3487133,525443,426256,12780012,8720253,86618,13266832,4192437,277799,109236,139703,1338296,3680570,11327546,9662151,4750,1898393,85411,3768379,1850564,152133,950696,387910,225045,5796523,219054,160090,612134,396548,236868,235170,349715,160435,496132,159705,276053,966423,621081,2035074,355296,8311897,2899007
2021-11-04,7182214,2645674,1223306,301968,3928630,9188763,5755339,7385944,15634114,629547,3235818,654643,832036,1612382,2412919,398026,104068,5590624,1087484,59524,379884,14180949,5759621,2371588,356210,834462,8569759,936097,2732631,44877494,2481644,21162348,379523,132337,2784171,5009095,446459,57860,29145,224525,3968834,76461160,9037097,12611543,11377672,2499210,18888245,19361604,30534774,38989578,5622860,5128250,14628933,4012142,1260047,1986124,969315,27137803,19055204,12239212,1555033,5646943,1817331,1749417,222335,1932770,1548606,16769075,111472533,5701579,416334,11856357,3142300,9739357,4758808,840482,63789703,2650791,235430,246842780,130037993,206681189,181763924,4157721,1902150,19177974,32738,603015,1017755,774647,135335,35485,98265,2976023,3226917,11528027,14876750,15719987,38204252,11137037,6758883,8159424,9738123,10538084,32780572,8173330,942623,7268936,10598477,407732,5151833,318656,4126087,45499109,1827918,48998741,4127992,1720723,633172,462820,4713454,1014098,10646455,166444,10822225,16638253,792392,968208,155139,2097952,21853002,6997198,1386955,468802,413845,2477288,343381,2229965,1771174,166282,2273916,1934901,18202,385162,6382529,1049260,676770,4398627,963252,267487,1156842,1826122,1414738,53074,98213,655737,,31934022,41710,733040,197813,2311038,2013956,2295233,209502,1092044,1573990,850207,2257244,48886048,692528,6908121,254149,3251120,61749,851582,159246,34925,85211,40416,118136,86026,133832,200985,72401,28030050,307186,15938528,4151279,1875514,,2560068,5222510,2095571,15517167,16592397,1239154,3892570,46000,123714,5329834,344857,1455365,749668,3327337,22000,2845761,477899,2049514,351228,180733,7974541,91050,168694,80574,5132029,483116,17896960,153823280,1941154,36455957,193970,551752,4222486,3942798,200344,2812406,3289659,1224579,5638977,36357,2251044,11067736,1050779,1845938,1332806,59092,7293138,1411804,627300,10786741,1090044,521163,435461,2917827,18642572,4086444,257466,2975232,197811,19737428,4468483,11840225,1938678,2656471,887002,4242774,11550179,3141685,185860,23504233,1169816,4390300,236086,88161351,330381,219038,635184,213060,8693075,1589734,645655,2070489,29779764,1071396,799671,286730,7246145,1482972,,1337843,37395,1711015,2813,107846,722654,13029,355681,299332,1364252,124303,489283,4803507,35000,708093,,123590,145683,576285,,4401,,,4117336,1437973,1484586,9097108,10367768,78077,17684744,6577783,194313,17331,178824,920313,2459328,9024641,8675142,22392,993864,76277,5710582,1086427,103274,535524,599732,297563,1233220,277322,93000,410350,293232,269589,321021,664372,181820,188125,100288,314531,1164445,1580335,964656,270173,7753115,1622455
2021-11-05,14223233,3749287,1109541,480462,6133625,8764724,7378035,6719631,10865416,584182,2632865,655965,990042,1685255,2171272,299889,87919,10206893,460651,53217,592797,11142736,42472325,3167677,186070,395646,23261387,585115,1364105,43823404,1935058,13092407,633409,110478,8314637,3086878,1143145,95825,60104,542850,4707922,187161521,10784782,26737774,17741997,2386051,35086799,14502454,22452613,27812944,9050959,4256081,8095729,5539774,704750,2837869,590856,12240558,43846322,11596833,2757889,6535540,1613978,1417374,285533,1753494,788758,13029553,310766226,6743383,1577800,14713832,3922770,3010633,5934397,1988655,30440234,3336443,270635,190946566,88153561,123187394,109094045,2886007,1200077,8511016,106481,247986,550614,574178,132846,33142,132384,3977963,3033287,11315875,16014627,12766482,36142734,9341164,5503493,15555790,14947311,18434104,25529433,11514494,977340,4075833,9224905,1105359,6901116,322190,24133745,48350144,2559661,54345348,9996436,2913774,499121,341451,2082375,618978,11880197,114864,5109243,18855514,723076,777720,385519,1654758,10681923,9193914,448704,580204,284252,4281088,275982,2312664,1295598,88959,2778762,1477846,33223,292609,3900397,1052927,990237,2667590,1728846,203169,2618540,1521958,619507,72358,138009,698273,,25138951,18200,394384,135234,3518563,2136438,1200881,290677,830380,2460743,829645,1882160,45098402,954535,7521430,242232,2360593,144034,793998,202822,34504,170394,49990,66001,33326,153862,46011,95362,19821370,224041,11742229,2426629,2542505,,4460442,2503518,3127014,8268531,13445229,619046,4960908,467497,198919,5435044,897159,889212,385372,3077885,34000,2299765,510294,2706340,827563,184606,6959479,125790,155957,144537,18155767,139270,15391163,25948593,2355582,22855119,230669,409924,1069106,7028410,519493,1765803,1721614,1584778,4324436,52920,2095248,10201079,927836,1405260,1260286,18191,4755244,1417125,377552,45322339,547371,899980,486982,2966068,12503603,5431306,185500,3676431,326178,5550329,2554103,6068527,1175708,2378030,1578231,1138961,6580695,2184296,360434,12165882,1137922,3655265,322963,50812829,237533,214019,488334,112991,5052562,3474611,225028,3459485,24534594,339211,1256818,114633,6833439,1109203,,869498,72157,1473823,4675,159322,459079,20000,1754417,302858,1038117,124411,208446,1951020,53002,893333,,197616,78781,839095,,16723,,,7145838,488204,741152,7683190,9174821,35882,22862998,2541812,204517,19206,98131,1057474,1734818,6158305,7093999,18050,3296920,48478,8021615,692689,137171,335237,590864,170268,1422025,298594,54002,733408,290132,376686,209406,347774,137532,1229902,220035,653479,3446283,1594742,581411,1220800,11322860,1729726
2021-11-08,11878265,4736417,4641953,719808,6820451,12785472,8512157,18295205,13929576,498139,3323943,1098456,766225,1907437,4426568,404064,481928,5475780,256023,62687,2926583,23338680,12062335,17247559,295511,396222,35287647,530636,4197406,98530499,8132217,117398288,3314857,344079,5460558,3432785,648343,155744,24945,378158,2858956,207964234,6807337,13904310,20910258,2827551,20886897,19900482,26647065,31518047,4949855,4849589,5576973,5386410,612312,4144162,873542,10049830,63632591,15906905,1034362,8317334,1001769,1972567,552239,1107165,544911,11598891,182910950,8772390,1124748,13594031,10948581,2688774,2597043,1786407,52997166,2679509,385276,353687168,197241511,395616714,319064171,4336167,2848250,12947685,27135,974679,929936,679009,943031,35511,100939,4247414,3160401,8405521,17910862,12925443,34003492,14922351,15018636,7895484,8498217,9187296,21174878,10120245,1179627,4195386,11705628,702315,3876700,238570,17071402,34086951,2244579,27862898,4229191,2862699,453405,589482,3278351,461696,7325380,276478,3122665,12335591,2187702,333372,121046,1821693,21886981,13573103,455832,804910,655275,2738769,281141,1260026,491137,121913,3999371,1280779,35003,275009,4626028,935990,768270,3228351,939263,339089,1264026,1333195,3010507,80100,147089,1498018,,14555081,15100,658274,247686,3379055,1342877,1109168,278165,913712,2132915,552585,2732165,34309712,1200649,28893007,654664,2889630,103106,1367876,185285,168003,218599,223142,213643,35974,92059,83024,113524,15403054,329030,10886045,2880198,6524204,,4917935,2278151,2434882,10402876,8960571,122043,5583099,114011,161766,2302922,274706,954776,208795,11314159,30050,2780530,2335040,2129649,377631,63205,3824843,56500,513135,82135,7922519,356631,12685913,23682931,1775540,34783080,231083,624657,1102621,4197677,853264,4116473,3276987,1481658,11758325,111051,8357107,8212287,1120814,1377663,1338884,82660,7307078,2205503,389341,33749021,2277205,519135,281025,2593533,11190571,2082862,71132,3269030,788275,3273622,3822213,4390465,788366,2064146,1748639,1860343,6665904,1442369,190908,7972331,724361,1305410,303181,57264640,222163,282931,152356,171359,3236103,2737933,263396,2424489,17333883,319320,733880,752386,5391486,1220271,,1301041,17651,873474,7163,1219291,2415984,13051,481141,217472,6025567,120610,318954,2084734,288228,1278544,,155566,62436,562680,,29089,,,4447672,378582,816753,4728244,6470204,77552,15955640,2286938,185464,51175,65128,775201,1807476,4852211,7956415,25140,4591563,55112,4936876,626060,103270,373267,201262,334587,852146,862419,127108,590162,352893,1033934,720954,247382,151137,410421,203309,1769616,635820,357867,637816,894133,5776686,5975910
2021-11-09,8393162,3306633,5057958,880181,10723591,12042986,9688064,7708130,11976019,360761,4577076,1095725,544296,4521486,5749509,391274,75927,2940134,455606,149349,3259978,13485451,30420572,8321163,481834,3821233,16005995,725356,4072071,70663793,6506198,98162767,3433848,744729,5942642,4251457,984397,483035,72828,835337,4531201,229917342,7107013,8837741,23994381,3321779,42340785,33496747,30362382,37073628,3313311,8277495,6142906,4040496,699393,3555230,540986,21136273,59198753,14399045,2315809,6319798,1275242,2093119,385397,2590408,1399261,16437468,145129138,6241780,801947,8350353,7326160,2041492,2267655,2876656,46823738,2113061,560598,243325104,204506755,429905066,339930339,7774253,2666781,11006136,84340,1626431,982640,424962,596486,120012,115478,3975037,2973759,10262138,16178234,12543540,22564800,15162610,92062917,11973326,10721530,11453427,31347323,14343473,1749955,5224537,22726758,358029,47488063,594000,9506009,37764533,1232008,48392224,4689777,2865390,305444,516423,1315263,482881,9043465,132642,11461923,11211138,791201,578551,106423,1295598,9742574,7046888,1227025,1004685,564570,16359714,1014422,1472169,887618,351240,3887968,731937,37796,1033800,2792599,701937,628915,3945569,759405,1662776,627737,1072917,965774,55375,379034,658278,,13341872,11135,1324977,214589,2577153,1764070,1345622,233974,418921,1085691,1168509,2062788,31936363,1141242,27382778,915012,2150084,103459,1675582,165782,92829,154112,33065,237444,98635,268751,25127,89279,9064850,1058583,10365270,1883999,2620453,,3591174,1767541,3985251,20666940,15786969,203161,4342327,92342,380921,4822593,1092830,746412,916336,6114099,17100,2236621,1774262,1610929,1151636,270052,3322629,70323,499696,94172,7993777,122151,20059790,24113131,757155,25444697,268844,430566,2778558,4378315,1287407,2933471,2806812,1812255,10964219,38073,3041297,25205137,1059538,1494149,850268,7062,7342372,2412479,348677,48461394,1819477,856772,906692,3057702,6940931,1989408,1996639,3804221,399577,4095099,4397367,6923460,1636349,1743753,1000418,1309646,4427369,15681947,367171,7116143,780448,1018171,176209,84840010,297051,194600,163519,104186,6686693,2143240,303710,1700180,16160954,346092,528092,900959,14615428,2686186,,861564,45822,671643,1637,984809,1351413,13004,681330,202553,1698478,132142,236677,1061741,122330,685735,,784298,112677,932732,,19995,,,5478333,180759,826748,7048641,6396296,125429,20326410,2783414,387072,59828,400976,1344263,1990542,8456554,5161515,38119,3990833,89342,12636078,860802,156029,621801,556688,294704,831499,1032173,284697,390046,280557,2265702,649631,1176950,378350,790498,332582,2808808,957711,532722,685908,490557,10726702,2409452
2021-11-10,8952723,3814954,2635501,603131,4505618,10160992,8918228,19698391,36811044,490625,3187338,2619049,1709587,2385795,3001205,2899736,61270,3108764,233764,66632,1431196,8289755,17627704,6053997,315897,1076729,12405160,686289,6851902,34144227,2439834,21603435,3476047,467181,6217076,3433244,3943356,248610,48831,1131295,2932105,128033517,6373621,8932687,22997778,2035458,18518512,40104909,14828607,39369225,4364492,4487714,5574758,13816442,492035,3349109,836400,15755516,37871371,26976504,2280196,13028699,662350,3215401,472369,1723905,697818,16080705,123654273,8634462,371461,8535536,3607273,4075321,1558732,2760189,24924311,5409294,1222023,181655102,144624187,574169179,408391665,2938000,2183215,7573125,42320,576747,495353,367093,854999,48442,134281,2508107,3040433,8456827,16675523,8200259,24537863,34481647,16311593,22811212,10463676,13198972,14827468,9333723,1291061,2178883,16000534,669198,27552498,851507,5894964,38995078,1059440,42275213,3018177,1972897,628167,121282,1049152,736109,12499342,404654,10470678,12985491,587978,116308,115860,938504,6272229,5155414,511938,1927770,875287,8000169,929118,2726034,774431,82781,2477664,1130188,52397,683720,6499181,484066,648570,2192708,8585736,520591,698548,2128472,1381992,52390,80477,1477965,,8790722,7040,1817759,324045,1418352,1653131,1747232,239546,693192,2712859,736417,3006135,27471727,1009676,13722516,484777,2349093,95522,1533478,122634,32022,130583,160956,90767,48174,146697,97348,64108,14341360,542838,10251727,1595828,12958362,,4287463,3352246,2899694,22380833,24151134,177040,4867787,124121,245105,3587827,536855,431779,375937,3013738,69116,3963338,1045285,1900165,1232436,170567,1932599,63001,586455,110694,10212106,148377,7486196,19847541,491893,16508177,571959,668077,6080014,4711199,1074831,2977158,6536426,1486229,18061672,54646,9077117,42962649,1371096,4601601,611795,16234,4988593,1800336,296947,56137369,2555326,14972155,362576,1295139,7706017,1091050,1045766,2403919,269298,2878430,2852910,13067443,1662037,2537706,2983103,846447,3046165,12623420,241185,20929560,703581,2409984,133223,43827679,344253,127087,110549,138261,2620407,3151584,518111,2276211,19868846,454977,1438840,363617,8964029,1442559,,900509,126727,870481,5858,483709,498266,28030,382253,262099,982237,53150,164755,451367,106004,861042,,352184,36627,512208,,34163,,,3808875,136429,867793,5805051,7696344,59227,10933530,2771708,382315,19235,379983,803196,1477541,8586895,8344351,54764,4561789,47708,6834511,3420516,181259,357278,345966,501776,488282,1367876,166081,282700,150171,1278181,462795,293525,199621,709734,160863,1504655,779235,661714,1110222,718528,8318575,2815300
2021-11-11,10677681,5936703,1305938,539966,10535597,15043985,11266865,12794062,20409234,522504,3504336,999663,1445268,1348503,5830418,5140294,103366,1866719,240085,106774,1817912,10494363,9519636,4966164,295782,1680600,14133918,943005,2437775,80281448,6956357,105406033,5831096,300206,7796318,6341533,1538993,174095,52339,530495,3794675,108617850,4532358,14857263,18767739,1449982,20257792,43076616,13518843,44659188,2125205,4518459,4451628,9246502,973992,7233445,271067,10473296,31113496,10467220,1389516,3917807,1120092,1081027,617758,968397,361157,10226295,91795563,10837310,297243,5904599,3976455,3398392,2092188,1248006,33388339,4047434,1241006,279511663,180798159,619864827,395131049,2681425,1455698,8160448,29132,315611,1418467,632722,2498764,39922,168715,2555018,3008153,9082473,15654511,15342712,81592285,40635053,11848039,9170281,17154676,22560014,24381124,8627762,1072202,3031188,41302024,359662,25611106,345024,5622708,32213496,1320402,44492246,7856100,2124768,510506,175106,1120517,354681,23535042,288197,15844638,14655309,788986,308334,445143,3470349,4531616,6339382,494325,1115162,2055261,5393141,479033,1721088,2853818,57628,2986115,3511771,28002,495925,3758536,646605,669105,2779962,5443389,455718,522514,1109546,1071573,57418,121021,731086,,17746272,9569,2511677,161281,1110773,1346968,426179,299229,5125182,1646189,1494253,2355222,39507822,868853,17317318,410412,1319062,258438,1721027,261308,49598,78250,31680,77330,39690,205235,116324,95044,23844032,465290,14892724,1437051,6148837,,5653838,3125709,3073712,9362646,17168735,87044,5781523,433252,264610,2185169,688048,1112026,5385099,9267498,26000,5437192,737826,1665105,1398935,192371,2132719,52000,193349,318815,15321193,369958,4510458,24569011,619576,16318054,335092,939189,4550567,4023719,1043212,1972903,1790745,1267271,6305749,104621,2555166,35901507,309850,2415934,1274639,99148,6914363,1312688,249845,24311849,3348603,19020725,302575,3638127,4473767,1908862,1299370,2842019,230582,2693620,1430555,11873757,979556,24998886,2844304,1072404,11368204,5406309,323853,29744127,603883,2382305,161985,64341344,340998,180510,197211,349691,8990985,1547530,420317,2397589,24624029,267134,422978,1171520,7543847,1438955,,1349986,63896,749356,3305,204534,801562,14000,1376018,478134,652764,85389,299121,676741,84791,818053,,310002,41958,994117,,37281,,,3438560,156608,564351,9144901,9978065,125417,8239668,1441260,196260,33051,195212,775249,1085938,5885356,5604260,38305,1821772,66316,6558310,4654571,192745,420756,438680,170101,911378,472300,72000,542235,178215,619892,574914,370556,284490,607944,204531,1680681,1435382,446178,1291719,528804,7005593,2148923
