,1101,1102,1210,1215,1216,1301,1303,1304,1326,1476,1477,1503,1504,1513,1514,1519,1532,1536,1560,1584,1589,1590,1605,1707,1717,1720,1760,1762,1783,1795,1796,2002,2006,2014,2027,2031,2049,2059,2201,2204,2206,2207,2211,2231,2233,2247,2301,2303,2308,2313,2317,2327,2330,2337,2338,2344,2345,2347,2351,2352,2356,2357,2360,2368,2376,2377,2379,2382,2383,2385,2395,2408,2409,2412,2420,2421,2449,2451,2453,2454,2455,2457,2492,2497,2548,2603,2606,2610,2618,2634,2637,2640,2645,2707,2723,2727,2729,2731,2732,2748,2753,2881,2882,2883,2884,2885,2886,2890,2891,2892,2912,2916,3003,3005,3006,3008,3014,3017,3022,3023,3027,3034,3035,3037,3038,3042,3044,3045,3078,3081,3088,3105,3131,3152,3162,3189,3217,3218,3231,3260,3264,3289,3293,3324,3356,3363,3374,3376,3406,3413,3443,3454,3479,3481,3483,3491,3504,3515,3529,3532,3533,3548,3551,3563,3583,3587,3592,3594,3596,3617,3624,3653,3661,3665,3669,3675,3680,3693,3702,3707,3708,3711,3715,4104,4105,4129,4137,4138,4147,4163,4164,4175,4541,4551,4572,4736,4743,4746,4755,4763,4766,4768,4770,4904,4919,4931,4938,4953,4958,4961,4966,4968,4971,4979,5009,5220,5222,5234,5236,5243,5269,5274,5284,5285,5287,5288,5289,5306,5309,5340,5347,5371,5388,5425,5434,5439,5483,5508,5511,5607,5871,5876,5880,5903,5904,6104,6121,6138,6143,6146,6147,6176,6187,6197,6203,6205,6214,6223,6235,6239,6245,6271,6274,6279,6282,6284,6285,6409,6412,6414,6415,6417,6443,6446,6469,6472,6488,6491,6505,6510,6515,6531,6533,6538,6561,6577,6589,6591,6612,6643,6669,6670,6679,6683,6691,6715,6719,6732,6741,6747,6756,6776,6781,6782,6788,6799,6803,6806,6811,6829,6830,6863,8028,8044,8046,8048,8069,8081,8086,8109,8114,8155,8210,8222,8255,8279,8299,8341,8349,8358,8436,8454,8464,8478,8926,8938,8942,8996,9802,9910,9911,9914,9921,9933,9939,9941,9942,9958
2021-11-01,8569471,5023721,2064906,372086,5020098,9623983,5870087,6693046,3416270,384645,1248374,160141,1967021,6375991,583221,887813,230922,868476,6985289,1394683,437697,649128,12200268,43857,5087757,165470,442667,445282,820321,2162567,34003,46542843,3281774,15918190,66766125,2674327,595877,163148,5464040,417245,502684,122616,358053,920911,452762,35318,3012199,134144926,11586092,40969757,18216191,2939627,17110357,33559433,11287783,20546856,2160647,2690086,4833875,11890018,4745501,1160036,1194162,9429696,44488779,6868170,2999833,3940805,4680703,724538,500729,7964030,112793892,6706689,1027726,464429,3975926,445554,360645,2963703,6596522,12350463,1921186,958067,191029,145532049,11913735,196651612,125870422,1061067,8798045,39711,,183408,543566,385107,17452,389966,34276,75115,159556,25581088,14023450,29301122,17790152,8686616,8456500,15229134,23306369,10310589,728030,41000,10701514,342242,31525685,506979,2095130,12710858,109659,345040,1957168,5859715,59128138,71674191,1173599,8824623,416195,1854235,1181271,1353468,1006642,7829362,210261,420592,1984513,32599057,143270,178769,6495822,3295941,13275920,171843,267224,831470,243655,7910105,3071371,467718,2442959,1051789,3965670,76730,83006,126058095,1738187,11603542,24842996,4755038,985534,2486370,612263,216466,1675941,205038,2858635,1394821,,104549,11892982,11129,1075464,3864417,2268221,2231010,436162,1262669,420956,1168778,2460194,80125139,2866587,15443891,,57477,656966,72067,174363,10472,679447,26821,88713,79798,81065,414044,15023,362239,1508955,763556,273023,110028,36002,,,1986906,11625377,331315,4143094,152151,3173487,7096165,462656,2256851,1015392,299762,4139116,39070,4332301,200560,792954,10971868,538554,291853,23000,16282103,18898,113079,297618,215989,9477279,499611,9864233,17156632,830099,42903526,345566,1199614,13943292,113358,14500,1150508,3857385,1497987,6593821,6692,44493,30492612,1228321,5712225,6495952,14457,5229100,1873665,1394203,211719,152162,2605370,147752,7848631,1051280,2837592,210506,11510987,1179227,1806638,61552111,1432837,6512408,169577,470365,741800,223661,6000,98154418,293772,273969,290992,2992258,1583610,2685068,2653442,456778,10358475,2604950,762227,58064,10070,1576179,143131,9001,1198061,840640,185386,344433,611523,,22016,,401639,493726,157801,2774684,463971,733459,,1504276,,17839,,,,,,1507715,5723008,12075827,128651,31055343,570772,4627672,49479,160088,6214302,318634,63208,11598209,22345,2012814,52014,15110,8636972,1190467,803255,632501,145505,407713,1477595,505301,1336767,360688,371164,197165,672788,253701,523289,862551,658465,88912,4354249
2021-11-02,9990897,4085367,3513629,440435,5136473,12273575,8620738,8050961,4442334,588826,1104790,148633,3720914,5197020,392051,628220,272516,1898838,11180096,1744048,378283,728038,14214547,33926,5097126,106706,420232,559705,430101,1213187,19003,45392614,2309033,16527554,33328856,2967324,1245403,251065,7303191,677800,370644,181200,292553,919070,365802,29691,5524048,196610350,10822782,30449515,21351175,8656512,16544999,31913956,41577249,44676492,2703399,2699689,18751475,11258827,5403311,1802179,1527388,33781752,34254041,7584642,2250705,5517012,3154853,1488327,441176,16625354,83296958,7517574,1294982,519529,3877201,514865,187405,2965080,8478897,35613283,4992197,1210039,341092,182290309,11369355,322520068,207283469,2696092,7634382,23367,,211644,818749,774307,14978,383096,85038,49390,89435,31733604,13301001,31125246,9654855,13385706,13559701,13265261,24725265,12340601,1101274,22095,15413004,891479,31268231,699781,2447230,18661998,203776,485038,1528915,5000516,51962706,91361986,526256,15786197,557734,2556019,1371857,1899175,368096,5321148,253042,1459688,1064385,30455287,416995,210156,5509028,6675522,10449882,187934,388354,731923,345401,4777785,6137964,861775,5758849,794800,3261485,37510,54105,72414082,1829794,21362771,29579901,2609021,911009,2842891,847765,194133,1683221,154368,2641037,3141483,,98071,8677532,32586,1101521,6981881,3578469,1867323,335119,1701306,586311,855847,2724709,82663249,1693368,10968225,,64404,562162,102257,390745,13200,1529218,44559,82171,50428,103292,463822,16158,347272,2651587,901910,147768,43660,19006,,,3243119,16086364,179167,25664571,185699,3871966,6679508,474259,1632768,1717034,222485,4438984,36000,8098916,146668,3517383,13592741,768300,236051,17000,24972091,21078,102259,260616,135956,12525566,401481,53491797,22455016,351661,98975149,479111,1318598,12886660,222943,32215,3212853,2899420,2235593,9194848,13173,109297,26597479,966455,7937250,4656319,57257,8681435,2301356,767412,206182,204586,1698218,185150,6126243,1715655,4200631,253971,12166381,2333223,2315231,56462999,2386007,6125744,313756,561981,779244,174687,12000,106426260,157315,926302,166651,4588248,2044182,4323206,1704277,705934,13063761,2635528,398961,20612,3000,901612,141112,26000,1048308,759255,151619,431912,717321,,54000,,396649,632321,68430,2712018,199186,943806,,1525392,,10056,,,,,,990296,8177683,13370244,128059,35633564,572456,7497712,41254,180789,4384687,282348,211225,19119946,33365,1388384,54046,13211,10603288,851886,709358,1379884,143889,353595,1661778,312524,948561,1090110,495881,124056,377708,698236,820561,1073740,638175,133150,2718535
2021-11-03,6499438,3115187,1159981,233279,4716207,9018534,7781503,7179431,3857922,447055,1477333,99379,1164874,2268507,211813,185584,172778,954203,3301388,924245,268118,817691,16964334,64300,1605360,631249,229821,1196573,202081,825469,16004,25151922,1863644,20288631,19902190,5695029,949562,117173,2577768,653842,240942,147912,303555,462728,293656,15041,2550933,93583437,9326306,14510541,12336039,6317560,11404984,21737623,26057648,46965385,3796646,6467496,11696490,5211829,4592551,2935011,2027079,12963068,37716633,7602285,1511907,2882424,2680750,1178629,334660,16105614,177508631,8510462,706513,655024,19132602,448804,291776,3089194,6750274,7969410,13795850,2173110,157497,306737554,29396783,221310491,135706490,1895890,20153752,12256,,125659,493540,259699,12357,215273,24360,17134,75249,14911092,10219417,19938090,7079777,6047525,9231573,7880483,19816431,5758717,1200448,50521,6180893,1648128,14746660,396194,1159873,6371019,143019,186507,1793204,3895173,47894537,72174925,291110,4609193,472853,1815299,590498,1375456,271528,5042984,141374,375456,292337,24136470,768942,159314,6596518,10231825,11627326,91031,1560982,355638,126638,2357860,2057559,420217,2332661,690907,2671045,61486,35009,207243443,326635,6181792,7537584,2016598,518282,1459991,312217,52030,625620,161335,2265115,1295638,,174224,5774388,39040,1264465,5357901,2485874,1350575,248465,1027548,234326,650336,2306604,68283965,1342797,8413769,,55382,304119,139324,110676,19595,677119,20250,101474,32755,61108,230153,10144,597298,9120976,911706,124247,75168,28026,,,2358038,8162196,243139,7688947,212371,2218576,8008039,217344,991319,408358,177853,3435294,35227,4843885,143463,753144,2058996,416868,78281,8000,13266250,20610,162000,141028,66027,3966312,119754,30287298,19556114,440564,54253250,274472,877522,7561898,87676,26455,3784061,3423037,1887100,5187466,11099,41151,17328856,794428,2156710,1673859,22110,5599453,1617983,467187,101453,117640,1009839,322208,4021364,641690,2975336,146193,5410786,3984136,1414845,31057844,3424426,15384618,208175,889226,2268485,203737,38005,65984092,115584,873861,322411,3855863,1793683,3710903,1016827,401798,14937020,1850565,305487,15642,2197,801582,177615,19000,896427,792342,246777,101715,2648846,,52000,,309623,292342,41404,2152198,110483,406186,,936341,,41786,,,,,,426256,12780012,8720253,44195,13266832,390953,4192437,109236,139703,1338296,100661,136039,9662151,4750,1898393,85411,66392,3768379,1513025,950696,387910,225045,219054,612134,396548,236868,235170,349715,160435,496132,276053,966423,2035074,355296,49242,2899007
2021-11-04,7182214,2645674,1223306,301968,3928630,9188763,5755339,5447075,3235818,654643,832036,117596,1612382,2412919,308951,198379,283318,1653022,5590624,1047378,141975,379884,14180949,47200,5759621,849983,356210,834462,254445,936097,5053,44877494,2481644,17054026,21162348,4117343,379523,132337,5009095,446459,227500,57860,227168,345186,224525,7306,3968834,76461160,9037097,12611543,11377672,2499210,18888245,19361604,30534774,38989578,5622860,5128250,14628933,4012142,6253111,1986124,969315,27137803,19055204,12239212,1555033,5646943,1817331,1749417,1548606,16769075,111472533,5701579,548701,416334,11856357,436764,1199183,3142300,9739357,4998464,16073979,4683866,235430,246842780,15783368,206681189,181763924,1902150,19177974,32738,,603015,1017755,774647,8726,135335,35485,27010,98265,14876750,15719987,38204252,11137037,6758883,8159424,10538084,32780572,8173330,942623,35041,7268936,832851,10598477,407732,865810,5151833,162140,318656,1320198,4126087,45499109,48998741,363589,4127992,333094,1720723,624804,633172,462820,4713454,1014098,166444,359025,16638253,968208,155139,21853002,6390478,6997198,171180,1386955,413845,241105,7589091,2477288,343381,2229965,1771174,2273916,30115,18202,121149433,385162,6382529,8286781,1528825,676770,963252,267487,194239,1156842,356416,9906798,655737,,149511,31934022,41710,733040,2311038,2013956,2295233,209502,1092044,1573990,468260,2257244,48886048,692528,6908121,,76046,254149,61749,246510,14002,619699,10677,164253,34925,200514,133832,200985,307186,4151279,613213,1875514,45902,16085,,,2560068,15517167,1239154,3892570,123714,5329834,4459801,344857,1455365,749668,291954,3327337,22000,2845761,477899,554761,2049514,351228,180733,11000,7974541,33106,91050,168694,80574,5132029,483116,17896960,9383078,1941154,36455957,193970,551752,3942798,90789,19920,2572146,3289659,1224579,5638977,12861,36357,11067736,1050779,1845938,1332806,59092,7293138,1411804,1090044,154309,114590,4770749,223859,4086444,2786261,2975232,197811,11840225,1938678,887002,37407451,4242774,11550179,185860,1169816,4390300,236086,126017,88161351,330381,219038,213060,1589734,645655,2070489,1071396,286730,7246145,1482972,220298,37395,12107,609459,107846,13029,355681,1364252,124303,489283,4803507,,60686,,123590,246132,145683,1776783,79210,576285,,930290,,4401,,,,,,1484586,9097108,10367768,84138,17684744,205908,6577783,17331,178824,920313,401245,357700,8675142,22392,993864,76277,36000,5710582,548856,535524,599732,297563,277322,410350,293232,269589,321021,664372,181820,188125,314531,1164445,964656,270173,168667,1622455
2021-11-05,14223233,3749287,1109541,480462,6133625,8764724,7378035,4042106,2632865,655965,990042,89501,1685255,2171272,141796,344678,275437,674988,10206893,1315582,425967,592797,11142736,51328,42472325,355865,186070,395646,196134,585115,13101,43823404,1935058,15281577,13092407,1527176,633409,110478,3086878,1143145,388145,95825,182545,304878,542850,28116,4707922,187161521,10784782,26737774,17741997,2386051,35086799,14502454,22452613,27812944,9050959,4256081,8095729,5539774,4689891,2837869,590856,12240558,43846322,11596833,2757889,6535540,1613978,1417374,788758,13029553,310766226,6743383,2623074,1577800,14713832,885394,2971983,3922770,3010633,6683359,4984247,2544257,270635,190946566,8290678,123187394,109094045,1200077,8511016,106481,,247986,550614,574178,22354,132846,33142,30710,132384,16014627,12766482,36142734,9341164,5503493,15555790,18434104,25529433,11514494,977340,49000,4075833,392391,9224905,1105359,1681758,6901116,130741,322190,870562,24133745,48350144,54345348,364339,9996436,663338,2913774,459428,499121,341451,2082375,618978,114864,274673,18855514,777720,385519,10681923,4062847,9193914,138661,448704,284252,259241,16641062,4281088,275982,2312664,1295598,2778762,35494,33223,438227317,292609,3900397,5074928,7770300,990237,1728846,203169,76046,2618540,247673,7544386,698273,,1817015,25138951,18200,394384,3518563,2136438,1200881,290677,830380,2460743,476393,1882160,45098402,954535,7521430,,93860,242232,144034,181987,16001,350774,33062,71216,34504,124498,153862,46011,224041,2426629,510305,2542505,32490,16259,,,4460442,8268531,619046,4960908,198919,5435044,8862634,897159,889212,385372,192004,3077885,34000,2299765,510294,314489,2706340,827563,184606,20028,6959479,23707,125790,155957,144537,18155767,139270,15391163,7521700,2355582,22855119,230669,409924,7028410,86864,10640,1286605,1721614,1584778,4324436,15275,52920,10201079,927836,1405260,1260286,18191,4755244,1417125,547371,233255,227992,1226168,165411,5431306,1281401,3676431,326178,6068527,1175708,1578231,24256710,1138961,6580695,360434,1137922,3655265,322963,108000,50812829,237533,214019,112991,3474611,225028,3459485,339211,114633,6833439,1109203,189637,72157,21102,700343,159322,20000,1754417,1038117,124411,208446,1951020,,35001,,197616,704054,78781,2875239,79590,839095,,1189992,,16723,,,,,,741152,7683190,9174821,44078,22862998,386208,2541812,19206,98131,1057474,262936,304239,7093999,18050,3296920,48478,13000,8021615,599189,335237,590864,170268,298594,733408,290132,376686,209406,347774,137532,1229902,653479,3446283,581411,1220800,169410,1729726
2021-11-08,11878265,4736417,4641953,719808,6820451,12785472,8512157,6345853,3323943,1098456,766225,98165,1907437,4426568,306427,456081,480464,663993,5475780,2064389,226643,2926583,23338680,72178,12062335,399849,295511,396222,265062,530636,15001,98530499,8132217,57273104,117398288,11310632,3314857,344079,3432785,648343,298445,155744,607813,295030,378158,22783,2858956,207964234,6807337,13904310,20910258,2827551,20886897,19900482,26647065,31518047,4949855,4849589,5576973,5386410,3939798,4144162,873542,10049830,63632591,15906905,1034362,8317334,1001769,1972567,544911,11598891,182910950,8772390,2285248,1124748,13594031,1002102,498529,10948581,2688774,7257731,4001180,1035700,385276,353687168,13217203,395616714,319064171,2848250,12947685,27135,,974679,929936,679009,30930,943031,35511,106776,100939,17910862,12925443,34003492,14922351,15018636,7895484,9187296,21174878,10120245,1179627,68498,4195386,704130,11705628,702315,1868975,3876700,303551,238570,924788,17071402,34086951,27862898,248522,4229191,789065,2862699,376753,453405,589482,3278351,461696,276478,760801,12335591,333372,121046,21886981,4672013,13573103,361506,455832,655275,166667,3696709,2738769,281141,1260026,491137,3999371,36128,35003,228287815,275009,4626028,6267424,9366868,768270,939263,339089,69720,1264026,153570,3057684,1498018,,504131,14555081,15100,658274,3379055,1342877,1109168,278165,913712,2132915,293481,2732165,34309712,1200649,28893007,,139852,654664,103106,365624,49000,673103,29258,59561,168003,143731,92059,83024,329030,2880198,1227476,6524204,101125,27017,,,4917935,10402876,122043,5583099,161766,2302922,7523335,274706,954776,208795,236046,11314159,30050,2780530,2335040,459404,2129649,377631,63205,5001,3824843,27980,56500,513135,82135,7922519,356631,12685913,8321183,1775540,34783080,231083,624657,4197677,756686,17996,1273152,3276987,1481658,11758325,31838,111051,8212287,1120814,1377663,1338884,82660,7307078,2205503,2277205,174176,305211,917667,293397,2082862,953049,3269030,788275,4390465,788366,1748639,30760427,1860343,6665904,190908,724361,1305410,303181,66000,57264640,222163,282931,171359,2737933,263396,2424489,319320,752386,5391486,1220271,95390,17651,18334,998229,1219291,13051,481141,6025567,120610,318954,2084734,,54024,,155566,329768,62436,4348041,142406,562680,,832108,,29089,,,,,,816753,4728244,6470204,334074,15955640,304907,2286938,51175,65128,775201,208064,268730,7956415,25140,4591563,55112,42086,4936876,1211129,373267,201262,334587,862419,590162,352893,1033934,720954,247382,151137,410421,1769616,635820,637816,894133,82703,5975910
2021-11-09,8393162,3306633,5057958,880181,10723591,12042986,9688064,5285628,4577076,1095725,544296,146461,4521486,5749509,296128,573796,447824,580245,2940134,1186990,320758,3259978,13485451,126166,30420572,432438,481834,3821233,1174136,725356,13065,70663793,6506198,29615873,98162767,4087261,3433848,744729,4251457,984397,320765,483035,580138,370486,835337,66269,4531201,229917342,7107013,8837741,23994381,3321779,42340785,33496747,30362382,37073628,3313311,8277495,6142906,4040496,6582739,3555230,540986,21136273,59198753,14399045,2315809,6319798,1275242,2093119,1399261,16437468,145129138,6241780,1109230,801947,8350353,594101,386065,7326160,2041492,26705071,7334094,723104,560598,243325104,25446190,429905066,339930339,2666781,11006136,84340,,1626431,982640,424962,21402,596486,120012,50355,115478,16178234,12543540,22564800,15162610,92062917,11973326,11453427,31347323,14343473,1749955,52012,5224537,1226945,22726758,358029,4746901,47488063,155553,594000,1635232,9506009,37764533,48392224,562064,4689777,1738655,2865390,611016,305444,516423,1315263,482881,132642,392367,11211138,578551,106423,9742574,8687804,7046888,604641,1227025,564570,185013,3071396,16359714,1014422,1472169,887618,3887968,292625,37796,126714707,1033800,2792599,15302088,8865154,628915,759405,1662776,93503,627737,129316,3238833,658278,,173655,13341872,11135,1324977,2577153,1764070,1345622,233974,418921,1085691,245174,2062788,31936363,1141242,27382778,,123695,915012,103459,467436,5019,560417,79724,97022,92829,634866,268751,25127,1058583,1883999,813547,2620453,49358,64188,,,3591174,20666940,203161,4342327,380921,4822593,16654976,1092830,746412,916336,543151,6114099,17100,2236621,1774262,323834,1610929,1151636,270052,20019,3322629,25002,70323,499696,94172,7993777,122151,20059790,7069328,757155,25444697,268844,430566,4378315,434144,24617,2049878,2806812,1812255,10964219,5382,38073,25205137,1059538,1494149,850268,7062,7342372,2412479,1819477,101023,232985,517563,299514,1989408,654719,3804221,399577,6923460,1636349,1000418,31592462,1309646,4427369,367171,780448,1018171,176209,123001,84840010,297051,194600,104186,2143240,303710,1700180,346092,900959,14615428,2686186,104491,45822,22096,771700,984809,13004,681330,1698478,132142,236677,1061741,,22001,,784298,454111,112677,10110702,228582,932732,,304092,,19995,,,,,,826748,7048641,6396296,121640,20326410,605321,2783414,59828,400976,1344263,250010,755469,5161515,38119,3990833,89342,110124,12636078,842474,621801,556688,294704,1032173,390046,280557,2265702,649631,1176950,378350,790498,2808808,957711,685908,490557,81251,2409452
2021-11-10,8952723,3814954,2635501,603131,4505618,10160992,8918228,19427412,3187338,2619049,1709587,169178,2385795,3001205,227097,243620,447703,1425359,3108764,1113082,236692,1431196,8289755,67303,17627704,195145,315897,1076729,2802785,686289,26002,34144227,2439834,14719023,21603435,2079090,3476047,467181,3433244,3943356,552433,248610,466225,778905,1131295,33025,2932105,128033517,6373621,8932687,22997778,2035458,18518512,40104909,14828607,39369225,4364492,4487714,5574758,13816442,7105509,3349109,836400,15755516,37871371,26976504,2280196,13028699,662350,3215401,697818,16080705,123654273,8634462,608270,371461,8535536,378691,376750,3607273,4075321,13735041,4366452,1567097,1222023,181655102,14760455,574169179,408391665,2183215,7573125,42320,,576747,495353,367093,16907,854999,48442,42237,134281,16675523,8200259,24537863,34481647,16311593,22811212,13198972,14827468,9333723,1291061,24442,2178883,560670,16000534,669198,3693648,27552498,168420,851507,1037513,5894964,38995078,42275213,372440,3018177,1220130,1972897,984096,628167,121282,1049152,736109,404654,307431,12985491,116308,115860,6272229,16197470,5155414,427598,511938,875287,199143,6119216,8000169,929118,2726034,774431,2477664,148878,52397,219436472,683720,6499181,6566484,9268899,648570,8585736,520591,75076,698548,90030,9934804,1477965,,204577,8790722,7040,1817759,1418352,1653131,1747232,239546,693192,2712859,552984,3006135,27471727,1009676,13722516,,283803,484777,95522,432437,16012,558010,69464,88239,32022,267220,146697,97348,542838,1595828,980362,12958362,56171,27022,,,4287463,22380833,177040,4867787,245105,3587827,5877885,536855,431779,375937,156406,3013738,69116,3963338,1045285,433170,1900165,1232436,170567,77441,1932599,17398,63001,586455,110694,10212106,148377,7486196,14877180,491893,16508177,571959,668077,4711199,1037454,11001,1730278,6536426,1486229,18061672,14140,54646,42962649,1371096,4601601,611795,16234,4988593,1800336,2555326,90934,365607,555852,245134,1091050,720124,2403919,269298,13067443,1662037,2983103,79958901,846447,3046165,241185,703581,2409984,133223,45002,43827679,344253,127087,138261,3151584,518111,2276211,454977,363617,8964029,1442559,80744,126727,35000,834768,483709,28030,382253,982237,53150,164755,451367,,22000,,352184,286759,36627,6915693,84255,512208,,1355551,,34163,,,,,,867793,5805051,7696344,65671,10933530,1217565,2771708,19235,379983,803196,495285,509023,8344351,54764,4561789,47708,117000,6834511,580847,357278,345966,501776,1367876,282700,150171,1278181,462795,293525,199621,709734,1504655,779235,1110222,718528,429089,2815300
2021-11-11,10677681,5936703,1305938,539966,10535597,15043985,11266865,8069886,3504336,999663,1445268,173061,1348503,5830418,690713,416725,242439,1158304,1866719,2551761,250373,1817912,10494363,55503,9519636,245314,295782,1680600,2808830,943005,83246,80281448,6956357,61859009,105406033,5887749,5831096,300206,6341533,1538993,437751,174095,829421,779801,530495,48850,3794675,108617850,4532358,14857263,18767739,1449982,20257792,43076616,13518843,44659188,2125205,4518459,4451628,9246502,5787933,7233445,271067,10473296,31113496,10467220,1389516,3917807,1120092,1081027,361157,10226295,91795563,10837310,626215,297243,5904599,1071824,318659,3976455,3398392,8740066,2758317,1753684,1241006,279511663,14644261,619864827,395131049,1455698,8160448,29132,,315611,1418467,632722,34823,2498764,39922,92611,168715,15654511,15342712,81592285,40635053,11848039,9170281,22560014,24381124,8627762,1072202,18103,3031188,1150642,41302024,359662,4412962,25611106,203648,345024,1775989,5622708,32213496,44492246,332129,7856100,679259,2124768,850447,510506,175106,1120517,354681,288197,269606,14655309,308334,445143,4531616,3768488,6339382,805145,494325,2055261,204256,7160444,5393141,479033,1721088,2853818,2986115,84757,28002,93199285,495925,3758536,6727748,10805463,669105,5443389,455718,74101,522514,128697,7124772,731086,,110057,17746272,9569,2511677,1110773,1346968,426179,299229,5125182,1646189,1670681,2355222,39507822,868853,17317318,,369186,410412,258438,795501,18000,480493,56249,65099,49598,276320,205235,116324,465290,1437051,587143,6148837,68608,127321,,,5653838,9362646,87044,5781523,264610,2185169,6529368,688048,1112026,5385099,221287,9267498,26000,5437192,737826,315328,1665105,1398935,192371,25000,2132719,90068,52000,193349,318815,15321193,369958,4510458,48703581,619576,16318054,335092,939189,4023719,717861,101740,1823643,1790745,1267271,6305749,32738,104621,35901507,309850,2415934,1274639,99148,6914363,1312688,3348603,121480,213913,3493364,252460,1908862,469218,2842019,230582,11873757,979556,2844304,71212409,1072404,11368204,323853,603883,2382305,161985,17002,64341344,340998,180510,349691,1547530,420317,2397589,267134,1171520,7543847,1438955,93610,63896,14000,1234248,204534,14000,1376018,652764,85389,299121,676741,,44087,,310002,206074,41958,4575023,93955,994117,,2225614,,37281,,,,,,564351,9144901,9978065,110889,8239668,2418912,1441260,33051,195212,775249,202055,288485,5604260,38305,1821772,66316,111050,6558310,3553214,420756,438680,170101,472300,542235,178215,619892,574914,370556,284490,607944,1680681,1435382,1291719,528804,245912,2148923
