,instrument,datetime,open,high,low,close,volume
0,Y9999,2021-11-01,17021.77,17119.43,17021.77,17068.24,7074664000
1,Y9999,2021-11-02,17094.42,17237.09,17026.63,17065.97,8341539000
2,Y9999,2021-11-03,17087.89,17153.76,17080.51,17122.16,7026797000
3,Y9999,2021-11-04,17158.28,17219.65,17061.46,17078.86,6938569000
4,Y9999,2021-11-05,17097.16,17296.9,17097.16,17296.9,7436689000
5,Y9999,2021-11-08,17323.39,17415.3,17279.46,17415.3,8442817000
6,Y9999,2021-11-09,17433.1,17581.52,17433.1,17541.36,8519578000
7,Y9999,2021-11-10,17549.09,17575.44,17489.87,17559.65,8499487000
8,Y9999,2021-11-11,17527.18,17527.18,17403.48,17452.52,9014096000
9,Y9999,2021-11-12,17479.55,17602.05,17479.55,17518.13,8143908000
10,Y9999,2021-11-15,17560.52,17683.19,17560.52,17634.47,8179591000
11,Y9999,2021-11-16,17639.96,17708.1,17629.8,17693.13,8855573000
12,Y9999,2021-11-17,17705.29,17764.04,17669.58,17764.04,9046216000
13,Y9999,2021-11-18,17767.06,17841.37,17748.21,17841.37,9921581000
14,Y9999,2021-11-19,17864.19,17986.18,17786.05,17818.31,9158530000
15,Y9999,2021-11-22,17828.53,17857.73,17790.64,17803.54,7432543000
16,Y9999,2021-11-23,17797.9,17797.9,17650.07,17666.12,7497815000
17,Y9999,2021-11-24,17680.16,17722.89,17588.78,17642.52,7355021000
18,Y9999,2021-11-25,17686.12,17724.5,17609.51,17654.19,7075203000
19,Y9999,2021-11-26,17641.79,17641.79,17330.44,17369.39,8639089000
20,Y9999,2021-11-29,17320.01,17415.63,17167.24,17328.09,7721871000
21,Y9999,2021-11-30,17369.79,17535.23,17369.79,17427.76,9057571000
22,Y9999,2021-12-01,17428.61,17626.21,17374.59,17585.99,7020888000
23,Y9999,2021-12-02,17575.91,17741.55,17559.44,17724.88,8097881000
24,Y9999,2021-12-03,17720.93,17781.14,17670.32,17697.14,7026605000
