,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42
T0102,1301,1795,2002,2103,2330,2412,2603,2634,2881,2883,3017,3293,3708,4906,6443,6477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1301,2059,2103,2368,2634,2890,2891,2892,3443,3533,3596,3661,3708,4906,5388,6285,8028,8069,8924,8996,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,1795,2059,2103,2313,2330,2351,2368,2412,2603,2634,2891,2892,3017,3037,3596,3661,3708,4906,5388,6217,8028,8046,8069,8924,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1513,1795,2059,2103,2313,2330,2351,2368,2603,2634,2891,2892,3017,3596,3708,4906,5388,6217,8028,8069,8924,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1101,1102,1216,1301,1904,2002,2103,2330,2412,2603,2634,2881,2882,2883,2891,2892,3293,3708,4906,6443,6477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1795,2317,2345,2412,2812,2834,3045,3088,3491,3558,3707,4105,4162,4175,4506,4904,6147,6180,6469,6470,6472,6561,6803,8279,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1301,1795,2317,2345,2412,2812,2834,2884,2890,3045,3088,3491,3558,3707,4105,4162,4904,6176,6180,6469,6470,6472,6505,6561,6803,8938,9917,9941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,1560,2303,2313,2317,2330,2345,2357,2368,2382,2383,2395,2412,2454,2886,3017,3035,3037,3443,3533,3653,3711,4739,4919,5274,5425,5434,6488,6719,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,1560,2303,2317,2330,2337,2345,2368,2382,2383,2454,2881,2882,3017,3035,3037,3443,3529,3533,3653,4919,5274,5425,6488,6719,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1301,1303,1326,2317,2330,2368,2385,2412,3037,3045,4904,4938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1301,1303,1476,1590,1722,2002,2006,2204,2603,2610,2618,2707,2723,2912,3708,5871,6505,8926,8938,9910,9938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1301,1476,2002,2059,2303,2308,2317,2330,2345,2368,2377,2412,2454,2603,2618,2881,2882,2884,2885,2886,2891,3023,3035,3037,3189,3533,3665,3711,4551,4966,5347,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910
T0410,2059,2303,2308,2317,2330,2345,2360,2368,2379,2382,2383,2395,2408,2412,2454,3017,3023,3035,3037,3189,3413,3529,3533,3665,3711,4919,4966,5269,5274,5289,5347,5425,5434,6121,6271,6488,6669,NA,NA,NA,NA,NA
T0415,1216,1301,1476,2002,2059,2303,2308,2317,2330,2345,2368,2412,2454,2603,2618,2881,2882,2884,2886,2891,3023,3035,3037,3189,3533,3665,3711,4551,4966,5269,5347,5483,5871,5876,6239,6271,6279,6285,6488,6505,6669,9910
T0502,1795,2308,2317,2330,2345,2351,2368,2383,2395,2454,3017,3035,3037,3324,3443,3526,3529,3533,3653,3665,4162,4739,4958,5274,5388,5425,6217,6415,6472,6488,6491,6719,8028,9910,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1560,2308,2313,2317,2330,2368,2395,2481,3017,3037,3324,3374,3443,3529,3533,3596,3653,4128,4958,4966,5274,5425,6279,6472,6491,6719,8028,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,2313,2317,2330,2337,2368,2383,3037,3324,3529,3533,3596,3665,4162,4958,4966,5274,5388,5425,6415,6472,6719,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,2317,3105,3218,3293,3324,3529,4128,4162,4966,5483,6121,6138,6147,6217,6279,6472,8028,8069,8924,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1560,2313,2317,2330,2368,2449,3017,3035,3037,3324,3374,3529,3532,3533,4919,4958,4966,5274,5425,6415,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,2313,2317,2330,2337,2368,2383,3037,3324,3529,3596,3665,4162,4919,4958,4966,5274,5388,5425,6472,6719,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1476,1560,1795,2313,2317,2330,2368,2395,3017,3037,3324,3443,3529,3533,3596,3653,4162,4958,5274,5388,5483,6138,6217,6415,6472,6488,6719,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1795,2308,2313,2317,2330,2345,2383,2395,3017,3037,3324,3443,3529,3596,3653,4162,4958,5274,5388,5425,5483,6138,6217,6415,6472,6488,6719,8046,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1303,2317,2330,2337,2377,2379,2382,2383,2408,2449,2454,3037,3596,3711,4958,5274,5483,6121,6147,6239,6488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0601,1301,2059,2303,2317,2327,2330,2347,2360,2379,2382,2408,2454,2455,2727,3008,3034,3037,3042,3105,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8044,8069,8464,9910,9914,NA,NA,NA,NA,NA
T0605,2059,2303,2317,2327,2330,2347,2379,2382,2408,2454,2455,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6488,6510,8044,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0606,1301,2059,2303,2317,2327,2330,2347,2379,2382,2408,2454,2455,2727,3008,3034,3037,3042,3081,3105,3131,3152,3376,3406,3711,4438,5269,5289,6121,6271,6279,6488,6510,6670,8046,8069,8464,9914,NA,NA,NA,NA,NA
T0704,2308,2330,2385,2454,2618,2882,3035,3037,3218,3526,3529,3533,3653,3661,4919,5274,6104,6271,6781,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1513,2317,2330,2368,2618,2634,2891,3017,3035,3037,3189,3529,3533,3653,3661,4919,4966,5274,5388,6271,6488,6491,6515,6781,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1319,1560,2330,2368,2634,2891,3017,3035,3037,3529,3533,3653,3661,4551,4919,5269,5274,5388,5483,6104,6271,6515,6669,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1319,2317,2330,2368,2610,2634,2891,3017,3035,3037,3189,3218,3529,3533,3653,3661,3665,3708,4919,4958,5269,5274,5288,5388,5483,6104,6271,6488,6669,6781,8046,8069,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0802,1301,1476,1590,2059,2308,2317,2330,2368,2454,2881,2882,2886,2891,3017,3035,3037,3189,3596,3665,4551,4927,4966,5269,5274,5871,6271,6278,6415,6491,6505,6669,6679,8046,8155,NA,NA,NA,NA,NA,NA,NA,NA
T0803,1301,1477,1560,1590,1795,2308,2330,2379,2454,2455,2881,2882,3017,3035,3037,3189,3533,3596,3653,3665,4551,4739,4927,4966,5269,5274,5871,6104,6271,6279,6491,6515,6669,6683,6719,8069,8155,9910,9914,NA,NA,NA
T0806,1795,2454,2455,3037,3105,3189,3217,3264,3293,3491,4927,4953,4966,5269,5274,5289,5306,5425,6104,6121,6138,6274,6279,6446,6488,6683,6719,8069,8155,8255,8299,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2059,2308,2317,2330,2368,2412,2454,3017,3035,3037,3045,3443,3596,3661,3665,4551,4927,5269,5274,6239,6271,6278,6285,6719,8028,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,1301,1476,1477,1795,2059,2207,2330,2345,2368,2379,2383,2395,2618,2707,2890,3034,3037,3105,3189,3293,3533,3596,3653,3665,4739,4770,4927,4966,5269,5274,5425,6271,6278,6415,6488,6679,8046,8255,8924,9914,NA,NA
T0812,1301,1590,1795,2002,2027,2455,2603,2610,2618,2634,2881,2882,2884,2886,2890,2891,2912,3105,4551,4739,4755,4770,5871,5876,6285,6505,6670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
