,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T0102,1513,1560,1590,2049,2231,2233,2351,2454,2606,2707,3022,3218,3293,3443,4147,4164,4541,4572,5425,6235,6245,6271,6274,6505,8255,8996,9802,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1513,1560,2368,2707,3003,3037,3044,3293,3443,3515,3529,3653,3661,6138,6143,6235,6531,6643,6669,6683,8028,8046,8069,8155,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0108,1513,2059,2330,2351,3008,3035,3533,3653,3661,3665,4147,4541,4572,5269,5289,5425,6235,6274,6669,8210,8255,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,2049,2059,2313,2330,2337,2408,2454,2603,2912,3037,3624,4147,4746,5607,6235,6589,6643,6683,8996,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1102,1216,1513,1560,1590,2049,2231,2233,2351,2454,2606,2707,3022,3218,3293,4147,4164,4541,4572,6235,6245,6271,6505,8255,8996,9802,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1503,1504,1513,1519,1584,1796,2382,2618,2634,2640,3017,3231,3260,4175,5009,5287,5289,5371,5903,6469,6472,6561,6803,6811,6829,8210,8222,8279,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0313,1503,1504,1513,1519,1584,1795,1796,2301,2352,2382,2618,2634,2886,3017,3231,3260,4175,5009,5289,5371,6469,6472,6561,6803,6811,6829,8210,8222,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0314,1513,1519,2303,2308,2317,2330,2345,2368,2376,2379,2382,2383,2408,2412,2454,2455,3017,3034,3037,3231,3443,3533,3653,3680,3711,5009,6515,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,1504,1513,1519,2303,2308,2317,2330,2345,2368,2376,2379,2382,2383,2412,2454,2455,2881,2882,2886,3017,3034,3037,3231,3443,3529,3653,3680,5009,6515,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1504,1513,1795,2014,2308,2330,2337,2345,2352,2368,2376,2382,2383,2449,2454,3017,3034,3037,3231,3374,3443,3515,3529,3533,3653,3711,5009,5347,6223,6285,6515,6669,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0406,1101,1210,1215,1216,1303,1304,1476,1477,1590,2002,2006,2204,2211,2603,2618,2707,2723,2727,2912,3708,5871,6505,8926,8938,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0408,1216,1476,2301,2303,2308,2317,2330,2345,2368,2376,2377,2382,2408,2454,2618,2707,2881,2885,2886,2891,3008,3023,3037,3529,3533,3653,3661,3665,3711,4966,5347,5425,5483,5876,6239,6285,6488,6505,6669,6679,8046,8069,9910
T0410,2301,2303,2308,2317,2327,2330,2345,2368,2379,2383,2395,2408,2412,2454,3008,3023,3037,3443,3529,3533,3653,3661,3711,4919,4966,5269,5274,5425,6121,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,1476,2303,2308,2317,2327,2330,2345,2351,2368,2376,2377,2382,2408,2707,2723,2881,2885,2891,3008,3023,3037,3529,3533,3653,3661,3711,4966,5269,5425,5483,5876,6239,6279,6285,6488,6679,8046,8069,9910,NA,NA,NA,NA
T0502,1476,1504,1513,1795,2308,2313,2330,2345,2368,2376,2382,2383,2408,3008,3017,3034,3035,3037,3260,3443,3529,3533,3583,3653,3680,4966,5269,5274,6138,6472,6515,6643,6669,8069,8299,9910,NA,NA,NA,NA,NA,NA,NA
T0503,1476,1504,2204,2308,2330,2345,2368,2376,2382,2408,3034,3037,3217,3443,3529,3533,3653,3680,4755,4966,5269,5274,6279,6472,6515,6643,6669,6781,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1504,2308,2330,2345,2368,2376,2379,2382,2618,3034,3037,3260,3443,3529,3533,3653,3680,4966,5269,5289,6472,6515,6643,6669,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0506,1519,1795,2382,3038,3078,3217,3218,3231,3293,3324,3443,3529,3583,3587,3653,3680,4164,4966,5009,5274,5289,5347,5425,6279,6472,6515,6612,6643,6669,6679,6811,6830,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0508,1504,2303,2308,2330,2357,2368,2377,2382,2408,2421,3017,3034,3037,3231,3443,3533,3583,3653,3680,3711,4966,5269,5274,6143,6472,6488,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,1504,2308,2330,2345,2368,2376,2379,2382,2618,3034,3037,3260,3443,3529,3533,3653,3680,4966,5269,5274,5289,5425,6472,6515,6643,6669,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,1476,1477,1513,1519,2308,2330,2345,2360,2368,2376,2379,2382,2408,2409,2454,3017,3034,3037,3231,3260,3443,3529,3533,3653,3680,4919,5274,6531,6643,6669,6679,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1477,1519,2204,2308,2330,2345,2368,2376,2382,2408,3017,3034,3037,3231,3443,3529,3533,3653,3680,4966,5274,6203,6279,6472,6515,6643,6669,6679,6781,8069,8299,9802,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1301,1477,1513,2002,2301,2303,2308,2313,2330,2345,2357,2376,2377,2379,2382,2383,2412,2421,2454,3017,3034,3037,3231,3596,3711,5347,5425,6239,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
