,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36
T0102,1503,1519,2317,2330,2382,2454,2609,2615,3017,3030,3131,3293,3450,3529,3533,3617,3653,4766,5269,6187,6197,6223,6669,6805,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0103,1476,1795,2027,2301,2308,2313,2327,2345,2376,2395,2449,2492,3023,3037,3406,3532,3653,3680,4919,4958,6239,6274,6412,6781,8069,8255,9802,9910,9921,NA,NA,NA,NA,NA,NA,NA
T0108,2059,2329,2330,2356,2376,2382,2383,2501,2520,2707,2731,2739,3008,3017,3035,3131,3147,3231,3617,3653,3661,4536,5289,6274,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0110,1522,2317,2330,2345,2354,2357,2408,2455,3017,3037,3131,3147,3260,3406,3450,3481,3617,3661,4968,5009,5269,6187,6197,6491,8086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0131,1303,1522,1560,1722,2059,2105,2317,2330,2354,2412,2606,2881,2890,3017,3045,3147,3450,3617,5009,6491,9914,9921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0311,1503,1513,1519,1522,2317,2330,2382,2467,2603,2615,2891,3017,3131,3324,3374,4506,5274,5347,5371,5483,5508,5536,6023,6121,6223,6231,6472,6640,6664,6803,8069,NA,NA,NA,NA,NA
T0313,1503,1513,1519,1522,2317,2330,2382,2454,2467,2603,2615,2881,2882,2891,3017,3131,3324,3665,5274,5347,5508,5522,5536,6023,6223,6231,6472,6640,6664,NA,NA,NA,NA,NA,NA,NA
T0314,1560,2303,2308,2313,2317,2330,2379,2382,2383,2412,2454,3017,3034,3044,3131,3653,3711,5269,5274,5347,6515,6669,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0336,1301,1519,1560,2303,2308,2313,2317,2330,2379,2382,2383,2412,2454,2603,2881,2882,2891,3017,3034,3044,3131,3653,3711,5269,5274,5347,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0363,1513,1795,2014,2031,2211,2303,2308,2313,2317,2330,2345,2368,2379,2382,2454,2891,3017,3034,3035,3131,3231,3374,3529,3653,3665,4961,5269,5274,6223,6274,6285,6414,6531,6669,8996,NA
T0406,1101,1210,1215,1216,1476,1477,1503,1504,1560,1590,1795,2002,2027,2049,2204,2520,2603,2606,2618,2707,2912,5871,6472,6491,8464,8926,9910,9914,9921,9958,NA,NA,NA,NA,NA,NA
T0408,2303,2308,2317,2327,2330,2345,2368,2376,2377,2382,2383,2408,2454,2455,2603,2881,2885,2891,3008,3017,3035,3037,3105,3231,3529,3533,3653,3711,5269,5274,6239,6274,6285,6669,6805,9958
T0410,2308,2313,2317,2330,2345,2357,2368,2382,2436,2454,3008,3017,3034,3035,3529,3653,3661,5269,5274,5347,6239,6515,6526,6643,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0415,2313,2317,2330,2345,2368,2376,2382,2383,2454,3008,3017,3035,3037,3105,3231,3529,3533,3653,5269,5274,6274,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0502,1476,1795,2308,2330,2345,2357,2360,2379,2382,2383,2454,2455,3017,3131,3443,3529,3533,3653,3680,5269,5274,6223,6515,6526,6643,6669,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA
T0503,1476,1795,2308,2330,2357,2368,2382,2383,2454,3017,3131,3443,3529,3533,3653,3665,3680,5269,5274,6274,6279,6515,6643,6669,8210,8255,8299,9914,NA,NA,NA,NA,NA,NA,NA,NA
T0504,1216,1476,1560,2105,2303,2308,2330,2345,2357,2368,2379,2382,2383,2408,2449,2454,2603,2891,2892,3017,3034,3044,3231,3533,3596,3653,3680,3711,4770,5434,6223,6515,6669,8299,NA,NA
T0506,1560,1795,2059,2330,3017,3131,3163,3293,3324,3491,3529,3583,3587,3680,5269,5274,5347,6143,6223,6274,6442,6472,6585,6640,6643,6679,6703,6811,8069,8299,NA,NA,NA,NA,NA,NA
T0508,2303,2308,2330,2345,2382,2383,2408,2454,2886,2891,3036,3037,3443,3529,3653,3680,4966,5269,5274,6223,6515,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0509,1476,1795,2308,2330,2357,2368,2382,2383,2454,3017,3443,3526,3529,3533,3653,3665,3680,5269,5274,6274,6279,6515,6643,6669,8255,8299,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0513,2330,2345,2368,2379,2382,2454,2455,3017,3034,3035,3131,3443,3529,3533,3680,5269,5274,6223,6526,6643,6679,6719,6805,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0567,1476,1477,1795,2308,2330,2357,2368,2382,2383,2454,2455,3017,3131,3443,3529,3653,3665,3680,5269,5274,6515,6526,6643,6669,6679,6805,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05B5,1216,1319,1477,1504,2204,2303,2330,2357,2382,2412,2439,2449,2454,2504,2603,2618,2886,2891,3014,3034,3044,4915,4961,5347,5483,6121,6176,6239,6285,8016,NA,NA,NA,NA,NA,NA
T0601,2059,2308,2317,2327,2330,2344,2357,2379,2382,2383,2408,2454,2455,2609,2727,3008,3034,3035,3037,3042,3105,3131,3152,3376,3406,3711,5289,6271,6279,6488,6669,6670,8069,8464,9914,NA
T0605,2059,2308,2317,2327,2330,2344,2357,2379,2382,2383,2408,2454,2455,3008,3034,3035,3037,3042,3131,3152,3376,3406,3711,5289,6271,6488,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA
T0606,2059,2308,2317,2327,2330,2344,2357,2379,2382,2383,2408,2454,2455,2609,2727,3008,3034,3035,3037,3042,3131,3152,3376,3406,3711,5289,6271,6279,6488,6669,6670,8069,8464,9914,NA,NA
T0704,2301,2308,2330,2357,2376,2379,2383,2385,2454,3017,3035,3231,3529,3533,3653,3661,6138,6274,6643,8114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0705,1519,2308,2317,2330,2357,2376,2379,2382,2383,2454,2618,2882,2885,3017,3035,3231,3293,3529,3533,3653,3661,5269,5274,6138,6643,6805,8069,9958,NA,NA,NA,NA,NA,NA,NA,NA
T0708,1519,2317,2330,2345,2357,2368,2383,2454,3017,3035,3406,3443,3529,3533,3653,5269,5274,6223,6643,6669,6789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0711,1477,1519,2059,2317,2330,2345,2357,2376,2379,2383,2454,2520,3017,3035,3231,3406,3529,3533,3653,3661,5269,5274,6138,6223,6643,6669,6679,6789,8114,8210,9958,NA,NA,NA,NA,NA
T0802,1476,1477,2317,2330,2345,2357,2360,2368,2379,2382,2383,2408,2454,3008,3017,3034,3413,3443,3529,3533,3653,3661,3680,4966,5269,5274,6121,6223,6239,6515,6669,6811,8299,NA,NA,NA
T0803,2059,2317,2330,2345,2368,2376,2382,2383,2449,2454,3008,3017,3034,3131,3443,3529,3533,3653,3661,4966,5269,5274,5388,6223,6239,6285,6515,6669,8069,8299,NA,NA,NA,NA,NA,NA
T0806,1477,1513,1795,2313,2330,2382,2606,3105,3131,3260,3293,3324,3529,3661,5234,5269,5274,5904,6223,6274,6285,6515,6643,6782,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0808,2313,2317,2330,2345,2360,2382,2449,2454,3017,3034,3131,3324,3413,3529,3533,3653,3661,3680,5269,5434,6223,6239,6515,6669,6805,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0810,2605,2618,2891,3017,3293,3653,4766,6409,6415,6446,6472,6669,6781,6782,8069,9914,9921,9933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0812,1477,1513,1795,2105,2204,2313,2317,2330,2382,2606,2882,2885,2886,3017,3105,3131,3260,3533,3653,3661,4766,4770,5234,6223,6274,6285,6472,6515,6669,8069,8299,9921,NA,NA,NA,NA
T0901,1519,2317,2330,2345,2368,2382,2383,2454,3008,3017,3034,3037,3131,3324,3376,3443,3529,3533,3653,3661,5269,5274,6223,6643,6669,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA
T0902,1513,2308,2317,2330,2382,2383,2454,2455,2618,3008,3017,3035,3289,3374,3376,3406,3443,3653,3661,3665,5274,6526,6643,6679,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0903,2313,2317,2327,2330,2345,2382,2383,2455,2618,3008,3017,3035,3374,3376,3443,3450,3533,3653,3661,3665,5274,6143,6197,6223,6472,6669,6805,8069,8299,8996,NA,NA,NA,NA,NA,NA
T0904,1513,2330,2368,2379,2382,2383,2882,3008,3017,3035,3374,3413,3443,3653,3680,5269,6223,6515,6531,6669,6805,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0906,2313,2330,2379,2382,2383,2618,3008,3017,3035,3131,3374,3376,3406,3443,3653,3675,6643,6805,8255,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0909,1795,2204,2317,2330,2382,2603,2609,2615,3008,3017,3034,3374,3376,3443,3529,3533,3653,3661,6223,6643,6669,6805,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T0910,1795,2317,2330,2345,2368,2383,2455,2603,2618,3008,3017,3034,3035,3037,3217,3231,3374,3376,3406,3529,3533,3653,3661,5269,5483,6121,6669,6805,8069,8299,NA,NA,NA,NA,NA,NA
T0911,1503,1560,2317,2327,2330,2345,2357,2368,2382,2383,2618,3008,3017,3034,3037,3406,3443,3533,3653,3661,5269,5274,6223,6526,6805,8069,8210,8299,8996,NA,NA,NA,NA,NA,NA,NA
